,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
68035,gonzesse,g§zEs,NOM,1,11.29,7.74,15.61,7.57,CVCVC,CVCCVCCV,2,8
122632,saisir,seziR,VER,1,36.81,9.4,135.74,33.78,CVCVC,CVVCVC,2,6
126130,sincère,s5sER,ADJ,1,19.51,15.2,22.5,18.65,CVCVC,CVCCVCV,2,7
131291,suspect,syspE,ADJ,1,12.95,8.44,16.82,7.77,CVCCV,CVCCVCC,2,7
13886,bâtard,bataR,NOM,1,13.66,9.89,11.89,9.12,CVCVC,CVCVCC,2,6
32686,courir,kuRiR,VER,1,146.5,47.19,263.38,71.82,CVCVC,CVVCVC,2,6
126240,sirène,siREn,NOM,1,11.35,8.06,17.5,10.34,CVCVC,CVCVCV,2,6
63203,forcer,fORse,VER,1,64.64,16.33,75.41,18.04,CVCCV,CVCCVC,2,6
46204,doubler,duble,VER,1,15.29,4.65,22.84,4.39,CVCCV,CVVCCVC,2,7
42478,dessert,desER,NOM,1,13.4,11.61,12.57,11.62,CVCVC,CVCCVCC,2,7
131096,surtout,syRtu,ADV,1,148.66,148.66,291.49,291.49,CVCCV,CVCCVVC,2,7
125306,serpent,sERp@,NOM,1,32.2,20.91,21.08,13.24,CVCCV,CVCCVCC,2,7
61700,figure,figyR,NOM,1,25.18,22.49,95.34,77.7,CVCVC,CVCVCV,2,6
25619,civil,sivil,ADJ,1,20.46,5.92,28.51,9.46,CVCVC,CVCVC,2,5
114785,régime,ReZim,NOM,1,19.43,18.52,39.73,36.69,CVCVC,CVCVCV,2,6
83507,lunette,lynEt,NOM,1,33.33,1.71,75.27,7.43,CVCVC,CVCVCCV,2,7
99591,percer,pERse,VER,1,15.77,6.19,42.03,11.22,CVCCV,CVCCVC,2,6
65514,futur,fytyR,ADJ,1,23.2,9.41,36.35,13.92,CVCVC,CVCVC,2,5
120414,richesse,RiSEs,NOM,1,13.21,8.44,22.16,14.66,CVCVC,CVCCVCCV,2,8
97636,parler,paRle,VER,1,1970.55,728.02,1086.01,341.82,CVCCV,CVCCVC,2,6
134613,tomate,tomat,NOM,1,20.77,7.88,13.31,5.74,CVCVC,CVCVCV,2,6
122772,salir,saliR,VER,1,17.51,6.81,15.95,6.08,CVCVC,CVCVC,2,5
89874,montrer,m§tRe,VER,1,327.33,136.2,276.55,81.15,CVCCV,CVCCCVC,2,7
108539,punir,pyniR,VER,1,41.7,13.82,20.14,8.45,CVCVC,CVCVC,2,5
45772,dollar,dolaR,NOM,1,134.1,13.89,16.96,3.85,CVCVC,CVCCVC,2,6
61898,final,final,ADJ,1,18.2,9.73,19.39,11.55,CVCVC,CVCVC,2,5
97695,parole,paROl,NOM,1,103.48,71.07,178.31,81.82,CVCVC,CVCVCV,2,6
122678,salade,salad,NOM,1,21.8,15.88,24.26,15.41,CVCVC,CVCVCV,2,6
25581,citron,sitR§,NOM,1,10.92,8.1,10.81,9.05,CVCCV,CVCCVC,2,6
81118,laquelle,lakEl,PRO:int,1,68.94,1.99,185.27,2.91,CVCVC,CVCVVCCV,2,8
120758,risquer,Riske,VER,1,100.4,13.06,99.32,14.19,CVCCV,CVCCVVC,2,7
82821,local,lokal,ADJ,1,18.11,6.05,22.84,6.76,CVCVC,CVCVC,2,5
91899,navire,naviR,NOM,1,21.98,15.83,50.2,28.04,CVCVC,CVCVCV,2,6
114864,régler,Regle,VER,1,85.81,42.27,54.19,22.36,CVCCV,CVCCVC,2,6
21644,carton,kaRt§,NOM,1,16.01,10.92,44.86,34.8,CVCCV,CVCCVC,2,6
125246,serment,sERm@,NOM,1,21.19,18.18,12.23,8.85,CVCCV,CVCCVCC,2,7
133277,tendance,t@d@s,NOM,1,12.98,10.95,20.88,14.26,CVCVC,CVCCVCCV,2,8
87010,ménage,menaZ,NOM,1,29.46,27.55,32.91,29.26,CVCVC,CVCVCV,2,6
121823,routine,Rutin,NOM,1,12.14,11.67,12.77,9.53,CVCVC,CVVCVCV,2,7
