,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
12222,bâbord,babOR,NOM,1,1.97,1.97,0.95,0.95,CVCVC,CVCVCC,2,6
12252,bacchante,bak@t,NOM,1,0.67,0.67,2.7,1.15,CVCVC,CVCCCVCCV,2,9
12298,bâcler,bakle,VER,1,1.39,0.12,3.99,0.68,CVCCV,CVCCVC,2,6
12304,bacon,bekon,NOM,1,4.5,4.5,0.47,0.47,CVCVC,CVCVC,2,5
12436,bâfrer,bafRe,VER,1,0.72,0.26,1.96,0.54,CVCCV,CVCCVC,2,6
12442,bagage,bagaZ,NOM,1,29.69,3.21,24.39,7.43,CVCVC,CVCVCV,2,6
12474,bagnard,baNaR,NOM,1,0.6,0.5,2.57,1.08,CVCVC,CVCCVCC,2,7
12518,baguette,bagEt,NOM,1,7.74,5.67,13.45,9.46,CVCVC,CVCVVCCV,2,8
12534,baignade,bENad,NOM,1,1.1,1.0,2.84,1.89,CVCVC,CVVCCVCV,2,8
12661,baiseur,bEz9R,NOM,1,2.0,1.4,1.49,0.61,CVCVC,CVVCVVC,2,7
12721,balade,balad,NOM,1,7.71,6.58,6.28,4.59,CVCVC,CVCVCV,2,6
12796,balance,bal@s,NOM,1,8.19,7.74,10.34,8.18,CVCVC,CVCVCCV,2,7
12903,baleine,balEn,NOM,1,16.68,11.52,5.0,3.11,CVCVC,CVCVVCV,2,7
12918,balèze,balEz,ADJ,1,1.3,1.12,0.81,0.74,CVCVC,CVCVCV,2,6
12919,balèze,balEz,NOM,1,0.69,0.61,0.47,0.14,CVCVC,CVCVCV,2,6
12928,balise,baliz,NOM,1,2.82,2.31,0.68,0.27,CVCVC,CVCVCV,2,6
12953,ballade,balad,NOM,1,4.54,3.64,1.22,0.95,CVCVC,CVCCVCV,2,7
13029,balourd,baluR,ADJ,1,0.82,0.41,0.68,0.54,CVCVC,CVCVVCC,2,7
13030,balourd,baluR,NOM,1,0.73,0.67,0.54,0.41,CVCVC,CVCVVCC,2,7
13091,banal,banal,ADJ,1,8.66,4.88,26.22,11.28,CVCVC,CVCVC,2,5
13109,banane,banan,NOM,1,11.14,6.09,7.57,4.05,CVCVC,CVCVCV,2,6
13120,bancaire,b@kER,ADJ,1,3.94,2.71,1.49,0.74,CVCVC,CVCCVVCV,2,8
13122,bancal,b@kal,ADJ,1,0.53,0.29,3.18,1.42,CVCVC,CVCCVC,2,6
13138,bandage,b@daZ,NOM,1,4.76,2.79,2.97,1.35,CVCVC,CVCCVCV,2,7
13206,banjo,b@dZo,NOM,1,3.13,3.08,1.08,0.81,CVCCV,CVCCV,2,5
13234,bannir,baniR,VER,1,7.03,1.62,3.31,0.61,CVCVC,CVCCVC,2,6
13267,banquise,b@kiz,NOM,1,0.66,0.65,1.55,1.42,CVCVC,CVCCVVCV,2,8
13280,baptême,batEm,NOM,1,4.84,4.41,10.34,9.39,CVCVC,CVCCVCV,2,7
13375,barbant,baRb@,ADJ,1,1.9,1.02,0.27,0.2,CVCCV,CVCCVCC,2,7
13413,barber,baRbe,VER,1,0.78,0.06,1.69,0.2,CVCCV,CVCCVC,2,6
13486,barbu,baRby,ADJ,1,1.46,1.27,8.31,5.41,CVCCV,CVCCV,2,5
13487,barbu,baRby,NOM,1,1.7,1.37,3.65,2.77,CVCCV,CVCCV,2,5
13499,barda,baRda,NOM,1,1.62,1.46,2.16,1.55,CVCCV,CVCCV,2,5
13515,barder,baRde,VER,1,2.58,1.84,6.55,0.47,CVCCV,CVCCVC,2,6
13535,baril,baRil,NOM,1,2.71,1.81,3.04,2.03,CVCVC,CVCVC,2,5
13556,barjo,baRZo,ADJ,1,1.02,0.95,0.14,0.14,CVCCV,CVCCV,2,5
13557,barjo,baRZo,NOM,1,1.01,0.72,0.14,0.14,CVCCV,CVCCV,2,5
13560,barjot,baRZo,ADJ,1,0.84,0.63,0.47,0.34,CVCCV,CVCCVC,2,6
13587,baroque,baROk,ADJ,1,1.24,0.91,4.86,2.91,CVCVC,CVCVCVV,2,7
13605,barrage,baRaZ,NOM,1,13.4,9.6,19.66,10.68,CVCVC,CVCCVCV,2,7
