"bad",,"ortho","phon","cgram","islem","freqlemfilms2","freqfilms2","freqlemlivres","freqlivres","p_cvcv","cvcv","nbsyll","nblettres"
,85683,"marque","maRk","NOM",1,40.29,23.91,37.7,26.89,"CVCC","CVCCVV",1,6
,102208,"place","plas","NOM",1,301.3,280.54,468.58,437.97,"CCVC","CCVCV",1,5
,126404,"slip","slip","NOM",1,11.35,9.29,12.77,10.07,"CCVC","CCVC",1,4
,102259,"plage","plaZ","NOM",1,48.19,44.99,86.89,72.03,"CCVC","CCVCV",1,5
"x",64689,"fringue","fR5g","NOM",1,13.12,0.23,11.82,0.2,"CCVC","CCVCCVV",1,7
,134456,"titre","titR","NOM",1,41.35,32.4,71.22,53.04,"CVCC","CVCCV",1,5
,103149,"plus","plys","NOM",1,21.02,21.02,20.34,20.34,"CCVC","CCVC",1,4
,87783,"mettre","mEtR","VER",1,1004.83,271.05,1083.72,230.2,"CVCC","CVCCCV",1,6
,99956,"perle","pERl","NOM",1,10.57,4.13,23.85,7.3,"CVCC","CVCCV",1,5
,18422,"brique","bRik","NOM",1,13.56,4.02,31.55,11.69,"CCVC","CCVCVV",1,6
,17493,"bourse","buRs","NOM",1,19.66,17.48,13.18,11.22,"CVCC","CVVCCV",1,6
,69076,"grève","gREv","NOM",1,15.87,14.54,26.55,22.36,"CCVC","CCVCV",1,5
,131698,"table","tabl","NOM",1,118.37,111.44,379.8,341.08,"CVCC","CVCCV",1,5
,45014,"disque","disk","NOM",1,33.61,20.36,42.16,21.49,"CVCC","CVCCVV",1,6
,102598,"plaque","plak","NOM",1,20.48,13.87,46.15,26.01,"CCVC","CCVCVV",1,6
,19639,"cadre","kadR","NOM",1,13.53,10.98,42.84,29.8,"CVCC","CVCCV",1,5
,68458,"graine","gREn","NOM",1,11.41,5.51,13.51,8.04,"CCVC","CCVVCV",1,6
,126057,"simple","s5pl","NOM",1,10.67,8.49,11.15,7.43,"CVCC","CVCCCV",1,6
,68374,"grâce","gRas","PRE",1,85.61,85.61,78.85,78.85,"CCVC","CCVCV",1,5
,92728,"noble","nObl","ADJ",1,28.7,23.73,31.62,20,"CVCC","CVCCV",1,5
,61837,"film","film","NOM",1,252.66,195.1,74.12,49.53,"CVCC","CVCC",1,4
,15655,"blague","blag","NOM",1,72.63,60.33,22.7,16.82,"CCVC","CCVCVV",1,6
,20170,"calme","kalm","NOM",1,105.2,105.08,53.24,52.03,"CVCC","CVCCV",1,5
,141417,"vitre","vitR","NOM",1,16.35,10.21,76.22,41.28,"CVCC","CVCCV",1,5
,67159,"geste","ZEst","NOM",1,40.78,31.41,271.08,172.03,"CVCC","CVCCV",1,5
,102434,"planche","pl@S","NOM",1,13.37,10.01,41.55,14.53,"CCVC","CCVCCCV",1,7
,46584,"drogue","dROg","NOM",1,58.76,47.2,13.72,10.54,"CCVC","CCVCVV",1,6
,80011,"jusque","Zysk","PRE",1,15.05,15.05,37.5,37.5,"CVCC","CVCCVV",1,6
,85921,"masque","mask","NOM",1,29.18,23.16,38.65,28.45,"CVCC","CVCCVV",1,6
,83624,"luxe","lyks","NOM",1,15.62,15.42,38.85,38.65,"CVCC","CVCV",1,4
,24407,"chiffre","SifR","NOM",1,27.28,9.38,33.11,12.7,"CVCC","CCVCCCV",1,7
,84256,"maître","mEtR","NOM",1,128.55,118.88,151.49,125.74,"CVCC","CVVCCV",1,6
,139057,"vaincre","v5kR","VER",1,27.84,13.71,25.68,13.31,"CVCC","CVVCCCV",1,7
,126890,"sombre","s§bR","ADJ",1,31.86,24.66,125.74,93.72,"CVCC","CVCCCV",1,6
,35355,"d'autres","dotR","ADJ:ind",1,133.34,133.34,119.73,119.73,"CVCC","C'VVCCVC",1,8
,61069,"ferme","fERm","ADJ",1,25.2,22.93,45.14,39.39,"CVCC","CVCCV",1,5
,68816,"grave","gRav","ADJ",1,142.48,134.19,93.78,74.86,"CCVC","CCVCV",1,5
,122219,"sable","sabl","NOM",1,25.23,23.14,96.55,87.91,"CVCC","CVCCV",1,5
,81200,"larme","laRm","NOM",1,45.71,5.15,133.51,10.81,"CVCC","CVCCV",1,5
,63182,"force","fORs","NOM",1,151.96,108.29,344.73,218.38,"CVCC","CVCCV",1,5
,100749,"peuple","p2pl","NOM",1,111.36,105.65,107.3,89.39,"CVCC","CVVCCV",1,6
,106532,"prince","pR5s","NOM",1,98.9,44.83,101.22,65.61,"CCVC","CCVCCV",1,6
,133462,"terme","tERm","NOM",1,37.67,25.72,59.73,34.86,"CVCC","CVCCV",1,5
,20169,"calme","kalm","ADJ",1,66.57,58.78,73.65,65.81,"CVCC","CVCCV",1,5
,63506,"foudre","fudR","NOM",1,12.94,12.5,14.46,12.64,"CVCC","CVVCCV",1,6
,26585,"coffre","kOfR","NOM",1,39.35,35.97,29.32,25.14,"CVCC","CVCCCV",1,6
,128683,"stade","stad","NOM",1,15.14,14.34,14.8,13.18,"CCVC","CCVCV",1,5
,82673,"litre","litR","NOM",1,10.19,2.75,18.51,10.2,"CVCC","CVCCV",1,5
,62726,"flotte","flOt","NOM",1,16.36,16.22,27.64,26.22,"CCVC","CCVCCV",1,6
,82739,"livre","livR","NOM",1,198.11,112.43,286.49,151.76,"CVCC","CVCCV",1,5
,87736,"mètre","mEtR","NOM",1,43.49,6.03,130.07,21.82,"CVCC","CVCCV",1,5
,81159,"large","laRZ","ADJ",1,18.66,14.25,107.5,70.54,"CVCC","CVCCV",1,5
,62553,"fleuve","fl9v","NOM",1,21.58,19.81,46.89,39.32,"CCVC","CCVVCV",1,6
,103110,"plume","plym","NOM",1,15.29,6.49,60,33.38,"CCVC","CCVCV",1,5
,91530,"naître","nEtR","VER",1,116.11,12.74,119.32,19.86,"CVCC","CVVCCV",1,6
,133313,"tendre","t@dR","ADJ",1,21.66,18.34,61.15,45.54,"CVCC","CVCCCV",1,6
,102053,"piste","pist","NOM",1,51.77,43.01,41.15,34.86,"CVCC","CVCCV",1,5
,68059,"gorge","gORZ","NOM",1,30.87,29.57,86.82,82.64,"CVCC","CVCCV",1,5
,32746,"course","kuRs","NOM",1,72.48,40.45,81.22,51.22,"CVCC","CVVCCV",1,6
,46631,"drôle","dRol","NOM",1,18.73,13.59,21.01,14.46,"CCVC","CCVCV",1,5
