חותמת זמן,Est-ce que le français est votre langue maternelle ?,Quel est votre sexe ?,Quel est votre âge ?,Quelle est votre nationalité ?,Quel est le plus haut diplôme que vous ayez obtenu?,Les deux étudiants se sont rencontrés et sont rapidement tombés,"Les jours ensoleillés, Jacques se rend au parc pour promener son",Faites attention à ne pas toucher la poêle quand elle est,Briser un miroir vous causera beaucoup de,Émilie l’avait détesté dès le moment où ils s'étaient,Les faux jumeaux étaient aussi différents que le jour et la,La petite fille était contente de perdre sa première,"Ce couteau ne coupe pas, sa lame est complètement","Au concert de rock, la musique était trop","Pour fêter son départ, ses amis lui ont organisé une","Pendant la randonnée, les pieds de Lila lui faisaient plus mal à chaque",Thais était en retard et n'arrêtait pas de regarder sa,Le petit oiseau s'est cassé une aile et ne peut plus,La couleur la plus associée à la colère est le,Les tensions entre les pays pourraient aboutir à la,Gaspard était perdu et ne savait pas quoi,La mère inquiète avait plusieurs bouches à,Arielle a été licenciée et recherche un autre,"En cuisinant, Luc s'est coupé le doigt avec un",Gilles préfère les films comiques qui le font,"Après avoir rendu sa copie, Lucie a réalisé qu'elle avait fait une","Selon la Bible, le meurtre est un très grave","Après s'être lavé les mains, Nathan les a séchées avec une",Les hommes ont failli tomber dans le trou qu'ils avaient,"Le garçon n'avait rien fait de mal, et la punition n'était pas",Chris dit que son chien avait toujours été son meilleur,Elles étaient venu voir le maire mais il avait encore,Dans cette boite se cache un,Cet espace peut en stocker une,Elle ne l'écoutait plus car il racontait la même,Ce plat est beaucoup trop,L'étudiant est très vite allé acheter un nouvel,Il a rapidement demandé un rendez-vous après avoir relu son nouveau,"Après avoir été lavé, le col n'était plus taché de","Pour avoir participé à la course, l'enfant a reçu un",La boutique d'accessoires était dans un quartier éloigné de la,Dina a été surprise d'apprendre que son meilleur ami était,Il a dit à son frère qu'il devait vraiment se,Il est entré dans cette chambre et est maintenant,Elle s'est acheté une tenue pour son,Hugo regardait la grande fontaine que sa mère avait,"Pour ne pas avoir faim, il aurait dû manger plus","Après l'élection municipale, toute la ville était en","Pour réussir à l'examen, Emma ne manquait pas de",Elle doit encore apprendre à utiliser les bons,"Après quelques mois, ils ont engagé un homme pour tout",Camille était très surprise que son mari n'ait pas,En regardant son livre il a deviné l'espèce de,L'équipe s'est entrainée de très longues semaines sur son,Le vieil homme était assis et s'est brusquement mis à,"Pour aider la famille de sa femme, Diego a organisé tout",Mon professeur m'a dit qu'il avait toujours eu peur de la,Je suis allé acheter un
4/3/2022 22:42,Oui,Femme,26 - 35,France,Master ou équivalent,Amoureux,Chien,Chaude,Malheur,Rencontrés,Nuit,Dent,Cassé,Forte,Fête,Pas,Montre,Voler,Rouge,Guerre,Faire,Nourrir,Emploi,Couteau,Rire,Erreur,Crime,Serviette,Creuser,Forte,Ami,Un rendez-vous,Lapin,Grosse,Chose,Salé,Appartement,Livre,Vin,Prix,Place,Gay,Calmer,Endormi,Anniversaire,Construite,De soupe,Vacances,Chance,Mots,Faire,Appelé,Chien,Spectacle,Crier,Le mariage,Hauteur,Livre
5/3/2022 14:49,Oui,Homme,26 - 35,France,"BTS, DUT, licence ou équivalent",Amoureux,Chient,Chaude,Soucie,Rencontrer,Nuit,Amie,Casser,Intense,Fete,Pas,Montre,Volle,Rouge,Guerre,Faire,Remplire,Travaille,Couteau,Rire,Faute,Peche,Serviettes,Creuser,Forte,Amie,Planter,Secret,Ou deux,Histoire,Lourd,Ordinateur,Contrat,Tomate,Brassard,Seine,Partie,Calmer,Sortie,Marriage,Construit,De pain,Choque,Lettre,Sentiment,Faire,Revenue,Personne,Coup de pied,Crier,Lendroit,Nuit,Calcon
5/3/2022 14:53,Oui,Homme,26 - 35,France,Certificat d'études primaires,Dans le trou,Dinosaure,Chaude,Porte malheur,Envolée,Bar mitsva,Dent,Brisé,Cool,Fete,Pas,Montre,Vivre,Rouge,Guerre mondial,Dire,Trou,Travaille,Couteau,Rigoler,Salsa,Pêche,Serviettes,Creuser,Claire,Amie,Des rendez-vous,Cloon,Blala,Merde,Chian,Iphone,Contras,Cafe au lait,Couteau,Grande ville,Avec sa meilleure amie,Faire couper les cheveux,Sortir,Mariage,Visiter,De chocolat,Itali,Cocaine,Achat,Arranger,Une montre,Extra terrestre,Match,Rigoler,Argent,Directrice,Mouton
6/3/2022 13:47,Oui,Femme,18 - 25,France,Master ou équivalent,Amoureux,Chien,Chaude,Malheur,Rencontrés,Nuit,Dent,plat,Fort,Fête,Pas,Montre,Voler,Noir,Guerre,Dire,Nourrir,Boulot,Couteau,Rire,Erreur,Péché,Serviette,Creusé,Juste,Ami,Annulé,Jouet,Majorité,Chose,Chaud,Appartement,Numéro,Chocolat,Prix,Gare,Gay,Reposer,Endormi,Bal,Peinte,De poisson,Furie,Temps,Couverts,Ranger,Une voiture,Roman,terrain,Bouger,Le mariage,Mer,Croissant
8/3/2022 16:37,Oui,Femme,18 - 25,La France,"BTS, DUT, licence ou équivalent",Amoureux,Chien,Chaude,Malheur,Rencontrés,Nuit,Dent,Innofensive,Forte,Surprise,Fois,Montre,Voler,Rouge,Guerre,Faire,Nourrir,Travail,Couteau,Rire,Faute,Crime,Serviette,Creusé,Méritée,Ami,Mal,Cadeau,Grande quantité,Histoire,Bon,Ordinateur,Contrat,Noir,Prix,Ville,Gay,Dépêcher,Bloqué,Anniversaire,Dessinée,Lentement,Colère,Temps,Termes,Faire,Répondu,L’histoire ?,Projet,Bouger,Seul,Foule,Habit
8/3/2022 16:46,Oui,Femme,26 - 35,La France,Master ou équivalent,Amoureux,Chien,Chaude,Problème m,Rencontres,Nuit,Dent,Abîmée,Forte,Fete,Pas,Montre,Voler,Rouge,Guerre,Faire,Nourir,Travail,Couteau,Fire,Faute,Crime,Serviette,Fait,Longue,Ami,Annule,Cadeau,Grande,Histoire,Épicé,Ordinateur,Compte rendu,La même façon,Prix,Place,Gay,Marier,Coincé,Bac,Montre,Souvent,Furie,Travailler,Mots,Nettoyer,Appelé,Chose,Projet,Huirr,Ce qu’il fallait,Mort,Pain au chocolat
8/3/2022 16:54,Oui,Homme,26 - 35,La France,Master ou équivalent,Amoureux,Chien,Chaude,Débris,Rencontrés,Nuit,Dent,Émoussée,Forte,Soirée,Pas,Montre,Voler,Rouge,Guerre,Faire,Nourrir,Emploi,Couteau,Rire,Erreur,Péché,Serviette,Creusé,Justifiée,Ami,Bu,Hamster,Fusée,Chose,Bon,Ordinateur,Examen,Sang,Prix,Capitale,Gay,Laver,Allongé,Mariage,Construite,De féculents,Émoi,Préparation,Ingrédient,Gérer,Chanté,Lézard,Match,Rire,Les travaux,Mort,Navet
8/3/2022 18:07,Oui,Femme,18 - 25,La France,"Brevet des collège, BEPC",Amoureux,Chien,Chaude,Peine,Vus,Nuit,Dent,Rayée,Forte,Fête,Pas,Montre,Voler,Rouge,Guerre,Répondre,Nourrir,Travail,Couteau,Rire,Faute,Aspect,Serviette,Creusé,Juste,Ami,Refusé,Cadeau,Longue,Histoire,Bon,Aspirateur,Livre,Sang,Bonbon,Ville,Gay,Fâcher,Endormi,Mariage,Peinte,Tôt,Fête,Réviser,Mots,Faire,Le covid,Chien,Travail,Pleurer,Le repas,Rouille,Pain
8/3/2022 20:33,Oui,Homme,26 - 35,La France,Master ou équivalent,Amoureux,Chien,Chaude,Malheur,Rencontré,Nuit,Dent,Cassée,Forte,Soirée,Pas,Montre,Voler,Noir,Guerre,Dire,Nourir,Emploi,Couteau,Rire,Erreur,Péché,Serviette,Creser,Justifiée,Ami,Repoussé,Tresor,Grande,Histoire,Salé,Ordinateur,Bulletin,Sang,Prix,Gare,Gay,Taire,Tranquille,Mariage,Remplie,Souvent,Fete,Stratégies,Mots,Régler,Essayé,Papier,Concert,Terre,Lui-même,Directrice,Sandwich
8/3/2022 20:39,Oui,Femme,18 - 25,La France,"Baccalauréat général, technologique, professionnel ou équivalent",Raides,Chien,Brûlante,Malchance,Vus,Nuit,Dent,Rouillée,Forte,Fête,Pas,Montre,Bouger,Rouge,Guerre,Faire,Nourrir,Travail,Couteau,Rire,Erreur,Crime,Serviette,Creusé,Appropriée,Ami,Mal,Pervert,Autre,Merde,Chaud,Appartement,Resultat,Vinaigre,Diplôme,Ville,Amoureux,Dépêcher,Immobile,Mariage,Creusé,Lentement,Deuil,Toupet,Outils,Détruire,Bu,Mammifères,Devoir,Courir,L’événement,Foule,Tricycle
8/3/2022 21:16,Oui,Femme,18 - 25,La France,"Baccalauréat général, technologique, professionnel ou équivalent",Amoureux,Chien,Chaude,Malheur,Vue,Nuit,Dent,User,Forte,Fête,Pas,Montre,Voler,Noir,Guerre,Faire,Nourrir,Emploi,Couteau,Rire,Faute,Péché,Serviette,Creuser,Juste,Ami,Ignorer,Gâteau,Caravane,Histoire,Cher,Ordinateur,Contrat,Sauce,Prix,Mairie,Malheur,Calmer,Coincé,Plaisir,Construite,Proteiné,Suspense,Travailler,Mots,Organiser,Dormi,Malentendu,Parcourt,Convulser,Placards,Foule,Téléphone
9/3/2022 0:27,Oui,Femme,18 - 25,La France,"Baccalauréat général, technologique, professionnel ou équivalent",Amoureux,Chien,Brûlante,Malheur,Vu,Nuit,Fois,Plate,Forte,Fête,Pas,Copine,Voler,Rouge,Guerre,Faire,Nourrir,Emploi,Couteau,Rire,Erreur,Crime,Serviette,Fait,Juste,Ami,Bu,Chapeau,Autre,Chose,Fort,iPhone,Mail,Sang,Bonbon,Ville,Gay,Marier,Dedant,Anniversaire,Faite,De bonbon,Feu,Révisons,Mots,Nettoyer,Vu,Chat,Projet,Pleurer,Une fête,Musique,Pain
9/3/2022 10:19,Oui,Femme,18 - 25,La France,Master ou équivalent,Amoureux,Chien,Chaude,Malheur,Rencontré,Nuit,Bague,Lisse,Forte,Fête,Pas,Chatte,Voler,Rouge,Guerre,Faire,Oreilles,Job,Couteau,Rire,Erreur,Acte,Serviette,Creusé,Adaptée,Ami,Une réunion,Canard,Gourde,Chose,Épicé,Ordinateur,Scanner,Sang,Prix,Maroquinerie,Gay,Marier,Resté,Marriage,Faite,De mac&cheese,Fête,Entraînement,Outils,Nettoyer,Mangé,D'écriture,Terrain,Bouger,Le marriage,Voie lactée,Couteau
9/3/2022 10:25,Oui,Femme,26 - 35,La France,Master ou équivalent,Amoureux,Chien,Chaude,Malheur,Rencontres,Nuit,Dent,Abîmée,Forte,Fête,Pas,Montre,Voler,Noir,Guerre,Faire,Nourrir,Boulot,Couteau,Rire,Faute,Pêcher,Serviette,Creuse,Justifiée,Ami,Une réunion,Carnet,Dizaine,Histoire,Gras,Ordinateur,Contrat,Cafe,Certificat,Ville,Parti,Coucher,Debout,Mariage,Remplie d’eau,Lentement,Attente,Connaissances,Mots,Réparer,Fait la vaisselle,Vache,Organisation,Ronfler,Lui même,Défaite,Journal
9/3/2022 13:05,Oui,Homme,56 - 65,La France,Master ou équivalent,Amoureux,Chien,Chaude,Soucis,Vus,Nuit,Dent,Brisée,Forte,Fete,Pas,Montre,Voler,Rouge,Guerre,Faire,Nourrir,Job,Couteau,Rire,Erreur,Crime,Serviette,Creusé,Mesurée,Ami,Refusé,Demon,Dizaine,Histoire,Épicé,Ensemble,Bilan,Sang,Prix,Fac,Malade,Taire,La,Anniversaire,Dessiné,Souvent,Émoi,Reviser,Outils,Faire,Percuté,Plante,Sujet,Courrir,L'evenement,Guerre,Cartable
9/3/2022 13:32,Oui,Femme,18 - 25,La France,"Brevet des collège, BEPC",amoureux,chien,chaude,dégâts,rencontrés,nuit,dent,pointu,bonne,fete,fois,montre,partir,rouge,guerre,faire,cuire,travail,couteau,rire,connerie,crime,serviette,fait,raisonnable,ami,disparu,jeu,grande,merde,chaud,pain,contrat,sauce,avoir,ville,gay,chier,allongé,nouvel an,fait,vite,pleur,talent,termes,faire,pensé,singe,sujet,chanter,ça,mort,pain
