Timestamp,Est-ce que le français est votre langue maternelle ?,Quel est votre sexe ?,Quel est votre âge ?,Quelle est votre nationalité ?,Quel est le plus haut diplôme que vous ayez obtenu?,"Les jours ensoleillés, Jacques se rend au parc pour promener son",Émilie l’avait détestée dès le moment où elles s'étaient,"Cette jupe est trop vieille, son tissu est très",Le magicien fit tomber le rideau et la femme avait,Il voulait travailler pour mon entreprise et n'a pas hésité à signer le,La fillette a reçu ce cadeau pour son,Hugo vivait dans une cabane qu'il avait lui-même,La riche héritière portait un collier de,"Pour rendre son café moins amer, elle a mis un morceau de",Il lui a mis un couteau sous la,Bernard l’avait accueilli avec un thé à la,Elle a emporté son nouvel appareil pour prendre de belles,Son ami a toujours adoré manger des,Nous sommes descendu de la voiture et avons vu un bel,"Nous avons enfin fini nos examens, et nous allons prendre le","En été à la mer, les enfants jouaient sur la","Depuis trois ans, elle travaillait dans l'","L'après-midi, il su pourquoi il avait","Comme ses voisins, elle a elle-même repeint sa","A la fin des vacances, Eloïse décida de retourner dans la",Georges pense que cette histoire a un,Elle n'est encore jamais passée devant la,Il aime le commerce et a décidé d'ouvrir un magasin de,La vieille femme met dans son sac un petit briquet et une,Dès son arrivée dans le grand magasin elle s'est acheté un
3/26/2022 13:09:53,Oui,Femme,26 - 35,La France,Master ou équivalent,chien,rencontrées,abimé,disparue,contrat,anniversaire,construite,perles,sucre,gorge,menthe,photos,mangues,oiseau,train,plage,armée,pleuré,chambre,campagne,problème,façade,confiseries,cigarette,bouquin
3/26/2022 13:12:09,Oui,Femme,26 - 35,Maroc,"BTS, DUT, licence ou équivalent",Chien,Rencontrées ,Abîmé,Disparue ,Contrat,Anniversaire ,Construite,Perle,Sucre,Gorge,Menthe,Photos,Gâteaux,Étang,Bus,Plage,Administration ,Perdu,Maison,Campagne,Problème ,Fenêtre ,Bonbon,Pochette ,Sac
3/26/2022 13:17:40,Oui,Femme,18 - 25,La France,"BTS, DUT, licence ou équivalent",Chien,Rencontrées ,Rêche ,Changée ,Contrat ,Anniversaire ,Construit ,Perles,Sucre ,Gorge ,Main ,Photos ,Pommes,Écureuil ,Temps,Plage,Industrie ,Perdu ,Chambre ,Campagne,Sens,Maison ,Chaussures,Lettre ,Pull
3/26/2022 13:21:14,Oui,Homme,56 - 65,La Belgique,"CAP, BEP ou équivalent",Chien,Disputées,Grossier,Disparu,Contrat,Baptême,Construite,Perles,Sucre,Gorge,Menthe,Photos,Frites,Éléphant,Repos,Plage,Horeca,Attendu,Maison,Maison,Secret,Maison,Fringues,Allumette,Collier
3/26/2022 13:22:15,Oui,Femme,26 - 35,La Belgique,Master ou équivalent,chien,vue,fripé,disparu,contrat,anniversaire,construite,diamants,sucre,gorge,rose,photos,concombre,homme,bus,plage,hôpital,craché,maison,campagne,coup,télé,photos,allumette,tutu
3/26/2022 14:45:46,Oui,Femme,18 - 25,La France,"BTS, DUT, licence ou équivalent",Chien ,Vues ,Démodé ,Souris ,Contrat,Anniversaire ,Fabriqué ,Perles ,Sucre,Gorge ,Main,Photos ,Hot dog,Oiseau ,Temps ,Plage,Aéronautique ,Abandonné ,Maison ,Capitale ,Sens,Boutique ,Vêtements ,Sigarette ,Sac
3/26/2022 16:00:51,Oui,Femme,18 - 25,La France,"BTS, DUT, licence ou équivalent",Chien,Rencontrées ,Rêche ,Disparue ,Contrat ,Anniversaire ,Construite,Perle,Sucre,Gorge,Menthe ,Photos,Chipolatas ,Oiseau ,*une bière ,Plage,Industrie ,Chaud,Maison,Ville,Méchant ,Boutique ,Vêtements ,Alumette,Manteau 
3/26/2022 16:01:46,Oui,Femme,26 - 35,La France,Master ou équivalent,chien,rencontrées,Usé,disparu,Contrat,anniversaire,fabriquée,Perles,Sucre,gorge,menthe,photos,pommes,homme,Soleil,Plage,environnemental,signé,Clôture,Mode,sens,boulangerie,vélo,cigarette,pantalon
3/26/2022 16:03:10,Oui,Homme,26 - 35,La France,Master ou équivalent,chien,connues,amer,perdu,contrat,anniversaire,construite,perles,sucre,gorge,camomille,photos,pommes,arc-en-ciel,train,plage,allée,pleuré ,chambre,datcha,sens,vitrine,bijoux,allumette,pull
3/26/2022 16:06:30,Oui,Femme,36 - 45,La France,"Brevet des collège, BEPC",Chien,Rencontrée ,Démodé ,Disparu ,Contrat,Anniversaire ,Contruit,Diamant ,Sucre,Gorge,Menthe,Photos,Glaces,Endroit ,Temps ,Plage ,Entreprise ,Mal,Chambre,Famille ,Problème ,Boutique ,Vêtements ,Cigarette ,Ordinateur 
