Timestamp,Est-ce que le français est votre langue maternelle ?,Quel est votre sexe ?,Quel est votre âge ?,Quelle est votre nationalité ?,Quel est le plus haut diplôme que vous ayez obtenu?,"Pendant les grandes vacances, le médecin aimait voyager avec son",Les policiers n'avaient pas du tout compris qu'elles s'étaient,"Pour se réchauffer, il a mis un manteau très",Les visiteurs attendaient le maire et pensaient qu'il avait,Elle a eu la bonne idée de le rappeler après avoir étudié son,Elle a acheté un pot de fleurs pour son,Albert a oublié la radio que sa mère avait,La femme s’était offert un beau bracelet de,"Pour améliorer cette recette, il faudrait ajouter un peu de",Elle a toujours eu mal à la,Isabelle était sortie cueillir un bouquet de,Son père avait dans le temps une incroyable collection de,On fait le cidre avec le jus des,Les pompiers ont enfin récupéré le chat coincé en haut d'un,"La gare est encore très loin, et nous allons rater notre","Au printemps dans le jardin, son père tondait la","Dès sa majorité, il s’était engagé dans l'",Après cette grosse bêtise il rougit de,"Après sa panne, un passant l'a aidé à pousser sa","Elevé dans une ferme, il rêve de retourner vivre à la",Elle aime ce film sans en comprendre le,Il va acheter des actions cotées en,Sa vue a diminué et elle doit acheter une nouvelle paire de,Le petit garçon mange son steak avec un couteau et une,Dès la première goutte de pluie elle a ouvert son
3/26/2022 13:07:08,Oui,Femme,26 - 35,La France,Master ou équivalent,frère,envolées,chaud,maigri,cv,fils,acheté,graines,sel,gorge,roses,timbres,pommes,arbre,train,pelouse,armée,honte,voiture,campagne,sens,bourse,lunettes,fourchette,parapluie
3/26/2022 13:38:32,Oui,Femme,36 - 45,La France,Master ou équivalent,Chien,Disputées ,Chaud,Atterri,Cas,Jardin,Allumée ,Diamants,Sel,Tête ,Fleurs,Timbres,Pommes,Arbre,Train,Pelouse,Armée,Honte,Voiture,Campagne,Sens,Bourse,Lunettes,Fourchette,Parapluie
3/26/2022 13:47:06,Oui,Femme,26 - 35,La France,Master ou équivalent,Fils,Fait,Épais ,Oublié ,Cv,Patron,Commandée,Diamants,Sucre,Tête ,Roses,Timbres,Pommes,Arbre,Bus,Pelouse,Armée ,Honte,Voiture,Campagne ,Dénouement ,Bourse,Lunettes,Fourchette,Parapluie 
3/26/2022 15:42:15,Oui,Homme,18 - 25,La France,Master ou équivalent,Âne ,Égarées ,Chaud ,Mal,CV ,Mari ,Oubliée ,Cuivre ,Sucre ,Tête ,Fleurs ,Figurines,Pommes ,Arbre ,Train ,Pelouse ,Armée ,Honte ,Voiture ,Campagne ,Sens ,Bourse ,Lunettes ,Fourchette ,Parapluie 
3/26/2022 16:09:55,Oui,Homme,26 - 35,La France,"BTS, DUT, licence ou équivalent",Enfant,Enfuient ,Epais,Oublier ,Profil,Mari,Acheter ,Diamant,Sel,Tete,Fleurs ,Montre,Oranges,Arbre,Train,Pelouse,Espace,Timidité ,Voiture,Campagne,Concept,Bourse,Lunettes ,Fourchette,Parapluie 
3/26/2022 17:11:50,Oui,Femme,18 - 25,La France,Master ou équivalent,Chien,Trompées ,Chaud,Disparu,Cas,Balcon,Préparée ,Diamants,Poivre,Tête ,Roses,Cactus,Pommes,Arbre,Train,Pelouse,Armée ,Honte,Mobylette,Campagne ,Sens,Bourse,Lunettes,Fourchette,Parapluie
3/26/2022 17:12:45,Oui,Femme,18 - 25,La France,Doctorat,Chien,Disputées,Chaud,Vieilli,Dossier,Chien,Prise,Diamants,Cannelle,Tête,Fleurs,Disques,Pommes,Arbre ,Train,Pelouse,Armée,Honte ,Voiture,Campagne,Dénouement,Bourse,Lunettes,Fourchette ,Parapluie
3/26/2022 17:40:15,Oui,Femme,18 - 25,La France,"BTS, DUT, licence ou équivalent",Chien,Trompées,Chaud,Oublié,Cas,Appartement,Allumée,Cheville ,Sel,Tête ,Fleurs,Timbres,Pommes,Balcon,Correspondance,Pelouse,Armée,Honte,Voiture,Campagne,Sens,Bourse,Lunettes,Fourchette,Parapluir
3/26/2022 17:43:03,Oui,Femme,36 - 45,La France,Master ou équivalent,Épouse ,volatilisées ,épais ,oublié ,Dossier,Anniversaire ,Passé,Perles ,coriandre,Tête ,fleurs ,Timbres,Pommes,Immeuble,train,pelouse,Armée ,Honte,Voiture ,Campagne ,Sens,bourse,Lunettes,Fourchette ,Parapluie
3/26/2022 17:44:41,Oui,Femme,36 - 45,La France,Master ou équivalent,Chien,Trompées ,Chaud,Du retard,Impact,Père ,Ramené ,Diamants ,Sel,Gorge,Fleurs ,Montres,Pommes ,Arbre,Train,Pelouse,Armée ,Honte,Voiture ,Campagne ,Sens,Bourse ,Lunettes ,Fourchette ,Parapluie
