Serial_num,ortho,phon,cgram,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,freq_mism,freq,mismatch,freq_sum,freq_cat,LPC,word_code
108911,quantité,k@tite,NOM,10.3,8.67,18.99,15.27,CVCVCV,CVVCCVCV,3,8,H_0,3.974622147184666,0,53.22999999999999,H,k@-ti-te,1422-4221-4241
84352,maladie,maladi,NOM,66.04,52.18,60.68,49.59,CVCVCV,CVCVCVV,3,7,H_0,5.431492445700453,0,228.49,H,ma-la-di,4001-5401-0221
21343,caresser,kaRese,VER,15.69,5.66,83.72,18.24,CVCVCV,CVCVCCVC,3,8,H_0,4.814701509882439,0,123.31,H,ka-Re-se,1401-2441-2241
40892,déposer,depoze,VER,53.09,15.03,62.7,13.24,CVCVCV,CVCVCVC,3,7,H_0,4.9702298794612165,0,144.06,H,de-po-ze,0241-0000-1241
120553,rigoler,Rigole,VER,47.56,10.48,33.85,9.8,CVCVCV,CVCVCVC,3,7,H_0,4.621928969803046,0,101.69,H,Ri-go-le,2421-6400-5441
96841,pantalon,p@tal§,NOM,37.55,31.49,71.76,57.91,CVCVCV,CVCCVCVC,3,8,H_0,5.291846475417725,0,198.71,H,p@-ta-l§,0022-4201-5422
108893,qualité,kalite,NOM,29.13,20.84,59.12,42.7,CVCVCV,CVVCVCV,3,7,H_0,5.022497986638768,0,151.79000000000002,H,ka-li-te,1401-5421-4241
27496,commencer,kom@se,VER,436.83,92.51,421.89,42.5,CVCVCV,CVCCVCCVC,3,9,H_0,6.901465539979852,0,993.73,H,ko-m@-se,1400-4022-2241
42301,désolé,dezole,ADJ,276.66,193.51,12.43,6.49,CVCVCV,CVCVCV,3,6,H_0,6.192546521619673,0,489.09,H,de-zo-le,0241-1200-5441
111252,rassurer,RasyRe,VER,29.25,6.06,68.04,17.57,CVCVCV,CVCCVCVC,3,8,H_0,4.795129169911258,0,120.92000000000002,H,Ra-sy-Re,2401-2240-2441
93509,numéro,nymeRo,NOM,173.48,162.08,70.07,60.0,CVCVCV,CVCVCV,3,6,H_0,6.143391327331203,0,465.63,H,ny-me-Ro,3240-4041-2400
125063,séparer,sepaRe,VER,66.22,20.34,109.8,18.38,CVCVCV,CVCVCVC,3,7,H_0,5.3694279940059895,0,214.74,H,se-pa-Re,2241-0001-2441
