Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,freqlivres,nbhomoph,islem,nblettres,nbsyll,cv-cv,cgramortho,pld20,Mlex puPhon,Mlex pld20,Mlex fb,Mlex ff,freq_comb,freq_comb_2,Word,nbphons,Pulexique,PUmMlex,maxPU,finalPU
vérité,veRite,vérité,NOM,193.24,190.21,133.38,2,1,6,3,CV-CV-CV,NOM,1.9,6,1.9,133.380001,190.21,2.509995093,8.810070462,vérité,6,6,6,6,TRUE
numéro,nymeRo,numéro,NOM,173.48,162.08,60,2,1,6,3,CV-CV-CV,NOM,2.25,6,2.7,60.0000007,162.08,2.34650945,7.85261605,numéro,6,6,6,6,TRUE
compagnie,k§paNi,compagnie,NOM,73.78,68.9,90.88,2,1,9,3,CV-CV-CV,NOM,1.85,6,3.1,90.88000074,68.9,2.203522419,7.059033469,compagnie,6,6,6,6,TRUE
sentiment,s@tim@,sentiment,NOM,75.72,36.87,106.42,2,1,9,3,CV-CV-CV,NOM,1.85,6,1.85,106.4200005,36.87,2.156215884,6.805482823,sentiment,6,6,6,6,TRUE
intérêt,5teRE,intérêt,NOM,81.09,63.63,75,2,1,7,3,V-CV-CV,NOM,1.75,3,1.95,74.9999996,63.63,2.141857222,6.729409581,intérêt,5,5,3,5,TRUE
cinéma,sinema,cinéma,NOM,63.49,62.23,72.91,2,1,6,3,CV-CV-CV,NOM,2.7,6,2.8,72.90999961,62.23,2.130783913,6.671023999,cinéma,6,6,6,6,TRUE
avocat,avoka,avocat,NOM,112.69,89.28,24.32,2,1,6,3,V-CV-CV,NOM,1.85,5,2.3,24.31999992,89.28,2.055378331,6.279958415,avocat,5,5,5,5,TRUE
maladie,maladi,maladie,NOM,66.04,52.18,49.59,2,1,7,3,CV-CV-CV,NOM,1.85,6,1.9,49.59000007,52.18,2.007619775,6.038156935,maladie,6,6,6,6,TRUE
magasin,magaz5,magasin,NOM,60.62,51.97,45.61,2,1,7,3,CV-CV-CV,NOM,2.85,6,2.85,45.60999969,51.97,1.989360812,5.946917254,magasin,6,6,6,6,TRUE
pantalon,p@tal§,pantalon,NOM,37.55,31.49,57.91,2,1,8,3,CV-CV-CV,NOM,2,6,2.9,57.90999963,31.49,1.951337517,5.759055622,pantalon,6,6,6,6,TRUE
horizon,oRiz§,horizon,NOM,9.04,7.8,61.08,2,1,7,3,V-CV-CV,NOM,1.7,5,2.65,61.08000025,7.8,1.83809314,5.216679531,horizon,5,5,5,5,TRUE
qualité,kalite,qualité,NOM,29.13,20.84,42.7,2,1,7,3,CV-CV-CV,NOM,1.7,6,1.75,42.7000003,20.84,1.803047213,5.054026463,qualité,6,6,6,6,TRUE
paradis,paRadi,paradis,NOM,33.23,33.23,28.04,1,1,7,3,CV-CV-CV,NOM,1.55,6,1.75,28.03999986,33.23,1.787247879,4.981502862,paradis,6,6,6,6,TRUE
unité,ynite,unité,NOM,43.46,29.29,25.07,2,1,5,3,V-CV-CV,NOM,1.85,5,1.95,25.06999993,29.29,1.735279448,4.746474208,unité,5,5,5,5,TRUE
océan,ose@,océan,NOM,24.89,22.86,24.93,2,1,5,3,V-CV-V,NOM,1.8,4,1.9,24.93000019,22.86,1.679337032,4.4995099,océan,4,4,4,4,TRUE
dignité,diNite,dignité,NOM,14.61,14.59,32.43,2,1,7,3,CV-CV-CV,NOM,1.9,6,2,32.43000026,14.59,1.672282627,4.468811812,dignité,6,6,6,6,TRUE
comédie,komedi,comédie,NOM,22.11,20.87,25.68,2,1,7,3,CV-CV-CV,NOM,1.95,6,2.45,25.68000029,20.87,1.667919688,4.449875774,comédie,6,6,6,6,TRUE
caméra,kameRa,caméra,NOM,56.18,41.64,4.39,2,1,6,3,CV-CV-CV,NOM,1.9,6,2.15,4.39000006,41.64,1.663040975,4.428746262,caméra,6,6,6,6,TRUE
appétit,apeti,appétit,NOM,20.98,20.68,23.78,2,1,7,3,V-CV-CV,NOM,1.85,5,1.85,23.77999988,20.68,1.647969457,4.363772789,appétit,5,5,5,5,TRUE
compagnon,k§paN§,compagnon,NOM,22.2,8.4,34.26,2,1,9,3,CV-CV-CV,NOM,1.8,6,3.85,34.26000017,8.4,1.630020853,4.286988834,compagnon,6,6,6,6,TRUE
bâtiment,batim@,bâtiment,NOM,27.58,22.73,19.93,2,1,8,3,CV-CV-CV,NOM,1.75,6,1.9,19.93000008,22.73,1.630020852,4.28698883,bâtiment,6,6,6,6,TRUE
poésie,poezi,poésie,NOM,19.07,17.56,19.86,2,1,6,3,CV-V-CV,NOM,2,4,2,19.8599998,17.56,1.573103781,4.047759286,poésie,5,4,4,4,FALSE
canapé,kanape,canapé,NOM,18.58,17.66,17.97,2,1,6,3,CV-CV-CV,NOM,1.95,6,1.95,17.96999996,17.66,1.551815822,3.959948167,canapé,6,6,6,6,TRUE
théorie,teoRi,théorie,NOM,32.38,27.29,8.04,2,1,7,3,CV-V-CV,NOM,1.85,5,1.9,8.03999999,27.29,1.548143637,3.944892359,théorie,5,5,5,5,TRUE
jalousie,Zaluzi,jalousie,NOM,13.67,13.2,22.09,2,1,8,3,CV-CV-CV,NOM,2.35,6,2.75,22.08999984,13.2,1.547651656,3.942877306,jalousie,6,6,6,6,TRUE
oreiller,oReje,oreiller,NOM,9.34,7.93,26.35,2,1,8,3,V-CV-YV,NOM,1.75,3,1.85,26.34999996,7.93,1.535040813,3.89139111,oreiller,5,4,3,4,FALSE
sympathie,s5pati,sympathie,NOM,7.68,6.87,24.05,2,1,9,3,CV-CV-CV,NOM,2.1,6,2.4,24.04999999,6.87,1.490239485,3.711053208,sympathie,6,6,6,6,TRUE
abandon,ab@d§,abandon,NOM,4.84,4.77,25.2,2,1,7,3,V-CV-CV,NOM,1.95,5,2.85,25.19999992,4.77,1.476686742,3.657290475,abandon,5,5,5,5,TRUE
ironie,iRoni,ironie,NOM,6.05,6,23.78,2,1,6,3,V-CV-CV,NOM,1.9,5,1.95,23.77999988,6,1.473924692,3.646378688,ironie,5,5,5,5,TRUE
charité,SaRite,charité,NOM,13.75,13.54,14.32,2,1,7,3,CV-CV-CV,NOM,1.8,6,1.8,14.32000017,13.54,1.444981115,3.532951537,charité,6,6,6,6,TRUE
élément,elem@,élément,NOM,24.03,10.2,16.15,2,1,7,3,V-CV-CV,NOM,1.8,5,1.8,16.14999983,10.2,1.420780617,3.439398178,élément,5,5,5,5,TRUE
araignée,aRENe,araignée,NOM,18.2,12.21,12.36,2,1,8,3,V-CV-CV,NOM,1.8,5,1.95,12.36000006,12.21,1.390405158,3.32363166,araignée,5,5,5,5,TRUE
quantité,k@tite,quantité,NOM,10.3,8.67,15.27,2,1,8,3,CV-CV-CV,NOM,1.85,6,1.85,15.26999989,8.67,1.379124144,3.281107549,quantité,6,6,6,6,TRUE
pyjama,piZama,pyjama,NOM,8.11,7.1,15.07,2,1,6,3,CV-CV-CV,NOM,2.75,4,2.85,15.07000012,7.1,1.345765695,3.156851003,pyjama,6,4,4,4,FALSE
vanité,vanite,vanité,NOM,5.75,5.16,16.49,2,1,6,3,CV-CV-CV,NOM,1.9,6,1.9,16.49000002,5.16,1.335457901,3.118905707,vanité,6,6,6,6,TRUE
casino,kazino,casino,NOM,12.75,10.89,9.8,2,1,6,3,CV-CV-CV,NOM,2,6,2.15,9.80000011,10.89,1.315760493,3.046986168,casino,6,6,6,6,TRUE
fantaisie,f@tezi,fantaisie,NOM,6.98,5.57,14.26,2,1,9,3,CV-CV-CV,NOM,2.85,6,2.85,14.25999987,5.57,1.297322711,2.980368929,fantaisie,6,6,6,6,TRUE
éléphant,elef@,éléphant,NOM,15.36,10.17,8.92,2,1,8,3,V-CV-CV,NOM,1.85,5,2.1,8.91999995,10.17,1.280805927,2.921269751,éléphant,5,5,5,5,TRUE
papillon,papij§,papillon,NOM,12.28,8.12,10.68,2,1,8,3,CV-CV-YV,NOM,1.9,6,2.75,10.67999993,8.12,1.274157848,2.897636068,papillon,6,6,6,6,TRUE
robinet,RobinE,robinet,NOM,5.89,5.12,13.65,2,1,7,3,CV-CV-CV,NOM,1.9,6,2.65,13.64999984,5.12,1.273464269,2.895175513,robinet,6,6,6,6,TRUE
attentat,at@ta,attentat,NOM,14.58,11.42,5.34,3,1,8,3,V-CV-CV,NOM,1.7,5,1.9,5.34000003,11.42,1.224274015,2.723120879,attentat,5,5,5,5,TRUE
lavabo,lavabo,lavabo,NOM,3.38,2.56,13.85,2,1,6,3,CV-CV-CV,NOM,2.45,6,2.5,13.84999988,2.56,1.215108578,2.691597434,lavabo,6,6,6,6,TRUE
document,dokym@,document,NOM,24.86,9.34,6.69,2,1,8,3,CV-CV-CV,NOM,2.35,6,2.65,6.69,9.34,1.204933522,2.656798316,document,6,6,6,6,TRUE
colonie,koloni,colonie,NOM,8.75,5.53,10.34,2,1,7,3,CV-CV-CV,NOM,1.9,6,1.95,10.33999988,5.53,1.200576923,2.641961873,colonie,6,6,6,6,TRUE
monument,monym@,monument,NOM,6.68,5.07,10.54,2,1,8,3,CV-CV-CV,NOM,2.45,6,2.75,10.54000003,5.07,1.193402904,2.617613395,monument,6,6,6,6,TRUE
syndicat,s5dika,syndicat,NOM,14.25,9.93,5.2,2,1,8,3,CV-CV-CV,NOM,1.85,6,2.4,5.20000001,9.93,1.179838928,2.571858825,syndicat,6,6,6,6,TRUE
écurie,ekyRi,écurie,NOM,6.88,5.08,8.85,2,1,6,3,V-CV-CV,NOM,1.75,5,1.75,8.84999999,5.08,1.143951116,2.452575272,écurie,5,5,5,5,TRUE
député,depyte,député,NOM,10.4,7.4,6.42,5,1,6,3,CV-CV-CV,NOM,1.75,6,1.8,6.42000008,7.4,1.140508046,2.441266648,député,6,6,6,6,TRUE
thérapie,teRapi,thérapie,NOM,13.63,12.98,0.07,2,1,8,3,CV-CV-CV,NOM,2.35,6,2.55,0.07000001,12.98,1.115610512,2.360197327,thérapie,6,6,6,6,TRUE
messager,mesaZe,messager,NOM,10.87,9.6,3.38,2,1,8,3,CV-CV-CV,NOM,1.9,6,2.15,3.37999999,9.6,1.113274692,2.352655232,messager,6,6,6,6,TRUE
