Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,freqlivres,nbhomoph,islem,nblettres,nbsyll,cv-cv,cgramortho,pld20,Mlex puPhon,Mlex pld20,Mlex fb,Mlex ff,freq_comb,freq_comb_2,Word,nbphons,Pulexique,PUmMlex,maxPU,finalPU
câpre,kapR,câpre,NOM,0.31,0.11,0,2,1,5,1,CVCC,NOM,1.35,4,1.45,0,0.11,-0.958607315,-0.039679331,câpre,4,4,4,4,TRUE
graal,gRal,graal,NOM,0.04,0.04,0.34,1,1,5,1,CCVC,NOM,1.2,4,1.25,0.34000001,0.04,-0.420216392,-0.243634576,graal,4,4,4,4,TRUE
volt,vOlt,volt,NOM,2,0.4,0,4,1,4,1,CVCC,NOM,1.55,4,1.7,0,0.4,-0.397940009,-0.239583758,volt,4,4,4,4,TRUE
kyste,kist,kyste,NOM,0.57,0.51,0.07,2,1,5,1,CVCC,NOM,1.5,4,1.5,0.07000001,0.51,-0.236571999,-0.180605688,kyste,4,4,4,4,TRUE
moufle,mufl,moufle,NOM,0.73,0.28,0.34,2,1,6,1,CVCC,NOM,1.7,4,1.75,0.34000001,0.28,-0.207608303,-0.164507096,moufle,4,4,4,4,TRUE
malt,malt,malt,NOM,0.68,0.68,0.14,1,1,4,1,CVCC,NOM,1.3,4,1.45,0.14,0.68,-0.086186148,-0.078758096,malt,4,4,4,4,TRUE
celte,sElt,celte,NOM,0.01,0.01,0.2,4,1,5,1,CVCC,"ADJ,NOM",1.25,4,1.45,0.88,0.33,0.08278537,0.089638788,celte,4,4,4,4,TRUE
gouache,gwaS,gouache,NOM,0.04,0.04,1.22,2,1,7,1,CYVC,NOM,1.8,4,1.85,1.21999998,0.04,0.100370538,0.110444783,gouache,4,4,4,4,TRUE
fuel,fjul,fuel,NOM,1.03,1.03,0.27,2,1,4,1,CYVC,NOM,1.85,4,1.85,0.27,1.03,0.113943352,0.12692644,fuel,4,4,4,4,TRUE
bulbe,bylb,bulbe,NOM,0.47,0.31,1.01,2,1,5,1,CVCC,NOM,1.7,4,1.8,1.01000001,0.31,0.120573934,0.135112008,bulbe,4,4,4,4,TRUE
pingre,p5gR,pingre,NOM,0.19,0.04,0.27,4,1,6,1,CVCC,"ADJ,NOM",1.85,4,1.85,0.80999998,0.6,0.149219106,0.171485448,pingre,4,4,4,4,TRUE
liane,ljan,liane,NOM,0.77,0.34,1.08,2,1,5,1,CYVC,NOM,1.65,4,1.8,1.07999998,0.34,0.152288338,0.175480076,liane,4,4,4,4,TRUE
