,spoken_config,LPC_config,
0,CCVYC,C-CV-Y-C,
1,CYVC,C-YV-C,
2,YV,YV,
3,CCVC,C-CV-C,
4,CCYVCC,C-C-YV-C-C,
5,CCCYV,C-C-C-YV,
6,CCCVC,C-C-CV-C,
7,VCC,V-C-C,
8,VY,V-Y,
9,CYVY,C-YV-Y,
10,V,V,
11,CCVCCC,C-CV-C-C-C,
12,CCCV,C-C-CV,
13,CVCCC,CV-C-C-C,
14,CC,"brrr, pfff",
15,CVYCCC,CV-Y-C-C-C,pounds
16,CCYV,C-C-YV,
17,CYVCC,C-YV-C-C,
18,CCCYVC,C-C-C-YV-C,
19,YVY,YV-Y,
20,CCC,"pfft, pst",
21,CYVCCC,C-YV-C-C-C,
22,CCVY,C-CV-Y,
23,CCYVYC,C-CY-V-Y-C,"squire, squires"
24,VYC,V-Y-C,o?l
25,CVCC,CV-C-C,
26,YVC,Y-V-C,***
27,CCV,C-CV,
28,CVY,CV-Y,
29,CVYC,CV-Y-C,
30,VC,V-C,
31,CCCVCCC,breitschwanz,breitschwanz
32,CVCCCC,CV-C-C-C-C,ambidextre
33,YVCC,YV-C-C,
34,CCVYCC,C-CV-Y-C-C,mostly english
35,C,C,
36,CCCVCC,C-C-CV-C-C,
37,CCYVY,C-C-YV-Y,
38,CVC,CV-C,
39,CCVCC,C-CV-C-C,
40,VYCC,V-Y-C-C,
41,VCCC,V-C-C-C,
42,CVYCC,CV-Y-C-C,mostly english
43,CCCVY,C-C-CV-Y,
44,CCYVC,C-C-YV-C,
45,CYV,C-YV,
46,CV,CV,
