,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
12731,balader,balade,VER,1,24.3,12.41,13.51,5.41,CVCVCV,CVCVCVC,3,7
12815,balancer,bal@se,VER,1,40.12,10.15,67.7,11.89,CVCVCV,CVCVCCVC,3,8
13951,bâtiment,batim@,NOM,1,27.58,22.73,36.82,19.93,CVCVCV,CVCVCVCC,3,8
19359,cabinet,kabinE,NOM,1,21.97,19.45,36.49,29.8,CVCVCV,CVCVCVC,3,7
20377,caméra,kameRa,NOM,1,56.18,41.64,6.35,4.39,CVCVCV,CVCVCV,3,6
20538,canapé,kanape,NOM,1,18.58,17.66,20.27,17.97,CVCVCV,CVCVCV,3,6
21343,caresser,kaRese,VER,1,15.69,5.66,83.72,18.24,CVCVCV,CVCVCCVC,3,8
21563,carrément,kaRem@,ADV,1,9.99,9.99,16.55,16.55,CVCVCV,CVCCVCVCC,3,9
21750,casino,kazino,NOM,1,12.75,10.89,10.81,9.8,CVCVCV,CVCVCV,3,6
23445,charité,SaRite,NOM,1,13.75,13.54,14.53,14.32,CVCVCV,CCVCVCV,3,7
24643,chocolat,Sokola,NOM,1,31.03,27.74,34.86,30.61,CVCVCV,CCVCVCVC,3,8
25225,cinéma,sinema,NOM,1,63.49,62.23,78.51,72.91,CVCVCV,CVCVCV,3,6
27077,colonie,koloni,NOM,1,8.75,5.53,19.05,10.34,CVCVCV,CVCVCVV,3,7
27354,comédie,komedi,NOM,1,22.11,20.87,29.73,25.68,CVCVCV,CVCVCVV,3,7
27384,comité,komite,NOM,1,18.72,18.34,63.65,58.99,CVCVCV,CVCVCV,3,6
27420,commander,kom@de,VER,1,63.49,13.5,80.34,11.55,CVCVCV,CVCCVCCVC,3,9
27496,commencer,kom@se,VER,1,436.83,92.51,421.89,42.5,CVCVCV,CVCCVCCVC,3,9
27766,compagnie,k§paNi,NOM,1,73.78,68.9,97.16,90.88,CVCVCV,CVCCVCCVV,3,9
27768,compagnon,k§paN§,NOM,1,22.2,8.4,80.0,34.26,CVCVCV,CVCCVCCVC,3,9
29930,consoler,k§sole,VER,1,14.41,6.63,33.18,16.15,CVCVCV,CVCCVCVC,3,8
30432,contenter,k§t@te,VER,1,29.04,5.98,60.61,11.35,CVCVCV,CVCCVCCVC,3,9
30530,continent,k§tin@,NOM,1,6.92,5.79,15.95,12.16,CVCVCV,CVCCVCVCC,3,9
30561,continue,k§tiny,ADJ,1,35.19,35.19,8.85,8.85,CVCVCV,CVCCVCVV,3,8
32622,courageux,kuRaZ2,ADJ,1,28.68,20.22,11.96,8.38,CVCVCV,CVVCVCVVC,3,9
36592,décider,deside,VER,1,207.76,42.27,214.19,27.16,CVCVCV,CVCVCVC,3,7
37963,défilé,defile,NOM,1,8.05,7.45,14.73,12.3,CVCVCV,CVCVCV,3,6
37973,défiler,defile,VER,1,10.82,4.32,32.64,11.28,CVCVCV,CVCVCVC,3,7
38224,dégager,degaZe,VER,1,102.47,8.22,58.04,15.2,CVCVCV,CVCVCVC,3,7
38500,dégoûtant,degut@,ADJ,1,15.92,11.47,6.76,3.92,CVCVCV,CVCVVCVCC,3,9
38824,déjeuner,deZ9ne,NOM,1,51.34,50.32,59.66,56.01,CVCVCV,CVCVVCVC,3,8
38825,déjeuner,deZ9ne,VER,1,35.43,19.99,36.01,17.03,CVCVCV,CVCVVCVC,3,8
39034,délicat,delika,ADJ,1,22.52,9.6,37.03,13.72,CVCVCV,CVCVCVC,3,7
40407,dépasser,depase,VER,1,42.62,6.12,78.78,10.27,CVCVCV,CVCVCCVC,3,8
40892,déposer,depoze,VER,1,53.09,15.03,62.7,13.24,CVCVCV,CVCVCVC,3,7
41165,déranger,deR@Ze,VER,1,126.95,31.38,43.99,14.59,CVCVCV,CVCVCCVC,3,8
