,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
12451,bagarre,bagaR,NOM,1,19.24,16.05,13.85,9.86,CVCVC,CVCVCCV,2,7
12478,bagnole,baNOl,NOM,1,23.93,21.18,34.26,26.28,CVCVC,CVCCVCV,2,7
12895,balcon,balk§,NOM,1,10.53,9.9,40.41,32.97,CVCCV,CVCCVC,2,6
12903,baleine,balEn,NOM,1,16.68,11.52,5.0,3.11,CVCVC,CVCVVCV,2,7
13091,banal,banal,ADJ,1,8.66,4.88,26.22,11.28,CVCVC,CVCVC,2,5
13261,banquette,b@kEt,NOM,1,3.02,2.66,30.88,24.26,CVCVC,CVCCVVCCV,2,9
13332,baraque,baRak,NOM,1,12.27,11.1,30.47,22.84,CVCVC,CVCVCVV,2,7
13398,barbe,baRb,NOM,1,24.15,23.4,50.54,47.7,CVCC,CVCCV,1,5
13598,barque,baRk,NOM,1,10.4,9.52,41.28,29.93,CVCC,CVCCVV,1,6
13605,barrage,baRaZ,NOM,1,13.4,9.6,19.66,10.68,CVCVC,CVCCVCV,2,7
14041,battre,batR,VER,1,200.35,75.92,182.36,57.36,CVCC,CVCCCV,1,6
14667,berceau,bERso,NOM,1,7.05,6.72,13.31,12.43,CVCCV,CVCCVVV,2,7
14701,berger,bERZe,NOM,1,11.84,8.33,24.8,11.15,CVCCV,CVCCVC,2,6
14792,besogne,b2zON,NOM,1,2.71,2.54,15.61,10.74,CVCVC,CVCVCCV,2,7
14853,bêtise,betiz,NOM,1,39.31,14.29,28.38,14.73,CVCVC,CVCVCV,2,6
14969,bible,bibl,NOM,1,17.79,17.03,17.84,17.16,CVCC,CVCCV,1,5
15609,bizarre,bizaR,ADJ,1,131.41,117.31,52.23,41.76,CVCVC,CVCVCCV,2,7
15655,blague,blag,NOM,1,72.63,60.33,22.7,16.82,CCVC,CCVCVV,1,6
15828,blême,blEm,ADJ,1,1.48,1.16,14.73,11.62,CCVC,CCVCV,1,5
15969,bloc,blOk,NOM,1,17.28,14.25,38.78,28.31,CCVC,CCVC,1,4
16066,blouse,bluz,NOM,1,5.68,5.29,32.64,28.51,CCVC,CCVVCV,1,6
16444,bonheur,bon9R,NOM,1,78.74,78.34,162.36,156.35,CVCVC,CVCCVVC,2,7
16450,bonhomme,bonOm,NOM,1,10.57,9.96,29.8,26.01,CVCVC,CVCCVCCV,2,8
16474,bonjour,b§ZuR,NOM,1,570.57,569.88,51.55,50.74,CVCVC,CVCCVVC,2,7
16879,boucle,bukl,NOM,1,18.86,8.62,29.86,11.22,CVCC,CVVCCV,1,6
17493,bourse,buRs,NOM,1,19.66,17.48,13.18,11.22,CVCC,CVVCCV,1,6
17618,boutique,butik,NOM,1,26.53,22.29,48.92,36.01,CVCVC,CVVCVCVV,2,8
17876,branche,bR@S,NOM,1,18.07,11.85,85.61,24.12,CCVC,CCVCCCV,1,7
18069,brave,bRav,ADJ,1,30.93,24.55,35.0,23.31,CCVC,CCVCV,1,5
18133,bref,bREf,ADJ,1,15.63,10.34,74.8,35.2,CCVC,CCVC,1,4
18134,bref,bREf,ADV,1,22.26,22.26,38.78,38.78,CCVC,CCVC,1,4
18422,brique,bRik,NOM,1,13.56,4.02,31.55,11.69,CCVC,CCVCVV,1,6
18459,brise,bRiz,NOM,1,5.63,5.6,11.49,10.88,CCVC,CCVCV,1,5
18641,bronze,bR§z,NOM,1,3.37,3.15,19.26,18.58,CCVC,CCVCCV,1,6
18673,brosse,bROs,NOM,1,8.43,7.29,19.59,16.01,CCVC,CCVCCV,1,6
18758,brousse,bRus,NOM,1,0.95,0.95,11.01,10.88,CCVC,CCVVCCV,1,7
18909,brume,bRym,NOM,1,5.07,4.17,42.57,35.88,CCVC,CCVCV,1,5
19065,budget,bydZE,NOM,1,11.21,10.54,6.62,5.34,CVCCV,CVCCVC,2,6
19218,buste,byst,NOM,1,2.44,2.02,24.46,21.62,CVCC,CVCCV,1,5
19334,cabane,kaban,NOM,1,15.36,14.34,29.46,25.68,CVCVC,CVCVCV,2,6
19356,cabine,kabin,NOM,1,20.0,17.65,35.07,29.86,CVCVC,CVCVCV,2,6
19370,câble,kabl,NOM,1,17.04,13.36,6.08,2.97,CVCC,CVCCV,1,5
19538,cachette,kaSEt,NOM,1,11.81,11.21,16.96,14.59,CVCVC,CVCCVCCV,2,8
19606,cadence,kad@s,NOM,1,2.42,2.12,13.78,12.64,CVCVC,CVCVCCV,2,7
19639,cadre,kadR,NOM,1,13.53,10.98,42.84,29.8,CVCC,CVCCV,1,5
20169,calme,kalm,ADJ,1,66.57,58.78,73.65,65.81,CVCC,CVCCV,1,5
20170,calme,kalm,NOM,1,105.2,105.08,53.24,52.03,CVCC,CVCCV,1,5
20183,calmer,kalme,VER,1,168.54,22.89,45.07,14.66,CVCCV,CVCCVC,2,6
20441,campagne,k@paN,NOM,1,51.12,48.61,107.23,94.73,CVCVC,CVCCVCCV,2,8
20536,canal,kanal,NOM,1,17.11,14.2,27.43,20.95,CVCVC,CVCVC,2,5
20557,canard,kanaR,NOM,1,23.85,15.46,29.46,16.15,CVCVC,CVCVCC,2,6
20591,cancer,k@sER,NOM,1,23.15,22.34,9.46,8.78,CVCVC,CVCCVC,2,6
20765,cantine,k@tin,NOM,1,4.23,3.76,12.16,10.61,CVCVC,CVCCVCV,2,7
20952,capote,kapOt,NOM,1,7.59,4.67,18.04,13.45,CVCVC,CVCVCV,2,6
21333,caresse,kaREs,NOM,1,5.32,2.21,33.04,16.15,CVCVC,CVCVCCV,2,7
21471,carnet,kaRnE,NOM,1,13.23,11.06,31.82,24.66,CVCCV,CVCCVC,2,6
21605,carte,kaRt,NOM,1,144.96,96.11,111.42,60.95,CVCC,CVCCV,1,5
21644,carton,kaRt§,NOM,1,16.01,10.92,44.86,34.8,CVCCV,CVCCVC,2,6
21765,casque,kask,NOM,1,15.42,12.11,29.19,21.62,CVCC,CVCCVV,1,6
21853,cassette,kasEt,NOM,1,32.4,23.55,6.42,4.05,CVCVC,CVCCVCCV,2,8
22340,ceinture,s5tyR,NOM,1,22.57,19.41,35.2,32.23,CVCVC,CVVCCVCV,2,8
22423,cellule,selyl,NOM,1,42.98,31.06,46.28,35.34,CVCVC,CVCCVCV,2,7
22452,cendre,s@dR,NOM,1,17.18,3.24,28.85,11.08,CVCC,CVCCCV,1,6
22495,centaine,s@tEn,NOM,1,29.22,6.33,41.82,10.54,CVCVC,CVCCVVCV,2,8
22553,centre,s@tR,NOM,1,57.0,53.46,84.46,80.0,CVCC,CVCCCV,1,6
