Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,freqlivres,nbhomoph,islem,nblettres,nbsyll,cv-cv,cgramortho,pld20,Mlex puPhon,Mlex pld20,Mlex fb,Mlex ff,freq_comb,freq_comb_2,Word,nbphons,Pulexique,PUmMlex,maxPU,finalPU
soir,swaR,soir,NOM,575.7,555.85,527.23,2,1,4,1,CYVC,NOM,1,1,1,527.2299968,555.85,3.034660535,12.2438251,soir,4,4,1,4,TRUE
suite,s8it,suite,NOM,275.9,274.18,270.88,3,1,5,1,CYVC,NOM,1.35,4,1.45,270.8799992,274.18,2.736444311,10.22457178,suite,4,4,4,4,TRUE
frère,fRER,frère,NOM,390.39,311.45,142.36,2,1,5,1,CCVC,NOM,1,4,1.1,142.3599992,311.45,2.656874061,9.715853836,frère,4,4,4,4,TRUE
ciel,sjEl,ciel,NOM,142.32,142.22,301.76,2,1,4,1,CYVC,NOM,1.35,4,1.45,301.7600024,142.22,2.647363409,9.65589643,ciel,4,4,4,4,TRUE
truc,tRyk,truc,NOM,381.34,274.94,51.15,5,1,4,1,CCVC,NOM,1.4,4,1.6,51.14999967,274.94,2.51333748,8.83020277,truc,4,4,4,4,TRUE
pièce,pjEs,pièce,NOM,151.1,110.66,193.78,2,1,5,1,CYVC,NOM,1.6,3,1.7,193.7799993,110.66,2.483501712,8.651282467,pièce,4,4,3,4,TRUE
lettre,lEtR,lettre,NOM,156.77,108.79,140.88,2,1,6,1,CVCC,NOM,1.2,4,1.3,140.8800001,108.79,2.397366361,8.144731832,lettre,4,4,4,4,TRUE
film,film,film,NOM,252.66,195.1,49.53,5,1,4,1,CVCC,NOM,1.05,4,1.4,49.5300002,195.1,2.388509716,8.093488378,film,4,4,4,4,TRUE
geste,ZEst,geste,NOM,40.78,31.41,172.03,2,1,5,1,CVCC,NOM,1.4,3,1.4,172.0300009,31.41,2.308436349,7.637314727,geste,4,4,3,4,TRUE
ventre,v@tR,ventre,NOM,46.91,46.07,136.62,2,1,6,1,CVCC,NOM,1,4,1.25,136.6199989,46.07,2.261714773,7.377068488,ventre,4,4,4,4,TRUE
boîte,bwat,boîte,NOM,88.81,74.58,94.32,5,1,5,1,CYVC,NOM,1.25,4,1.6,94.31999919,74.58,2.227629647,7.189963494,boîte,4,4,4,4,TRUE
