Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,freqlivres,nbhomoph,islem,nblettres,nbsyll,cv-cv,cgramortho,pld20,Mlex puPhon,Mlex pld20,Mlex fb,Mlex ff,freq_comb,freq_comb_2,Word,nbphons,Pulexique,PUmMlex,maxPU,finalPU
mécénat,mesena,mécénat,NOM,0.04,0.04,0,1,1,7,3,CV-CV-CV,NOM,2.4,4,2.7,0,0.04,-1.397940009,0.556296259,mécénat,6,5,4,5,FALSE
calorie,kaloRi,calorie,NOM,1.43,0.15,0,2,1,7,3,CV-CV-CV,NOM,1.9,6,1.9,0,0.15,-0.823908741,-0.145083128,calorie,6,6,6,6,TRUE
vahiné,vaine,vahiné,NOM,0.13,0.09,0.27,2,1,6,3,CV-V-CV,NOM,1.9,3,1.9,0.27,0.09,-0.443697499,-0.246830028,vahiné,5,3,3,3,FALSE
cotillon,kotij§,cotillon,NOM,0.32,0.19,0.2,2,1,8,3,CV-CV-YV,NOM,1.95,5,2.85,0.20000001,0.19,-0.408935382,-0.241707235,cotillon,6,5,5,5,FALSE
balluchon,balyS§,balluchon,NOM,0.18,0.16,0.34,4,1,9,3,CV-CV-CV,NOM,1.95,6,3,0.34000001,0.16,-0.301029987,-0.210410934,balluchon,6,6,6,6,TRUE
godillot,godijo,godillot,NOM,0.35,0.04,0.47,2,1,8,3,CV-CV-YV,NOM,2.1,6,2.35,0.46999998,0.04,-0.292429841,-0.206914629,godillot,6,6,6,6,TRUE
égérie,eZeRi,égérie,NOM,0.46,0.46,0.27,1,1,6,3,V-CV-CV,NOM,2,4,2,0.27,0.46,-0.13667714,-0.117996499,égérie,5,4,4,4,FALSE
otarie,otaRi,otarie,NOM,1.05,0.13,0.68,2,1,6,3,V-CV-CV,NOM,1.85,5,1.85,0.67999999,0.13,-0.091514986,-0.083139994,otarie,5,5,5,5,TRUE
abatis,abati,abatis,NOM,0,0,0.88,4,1,6,3,V-CV-CV,NOM,1.25,5,1.65,0.88,0,-0.055517328,-0.052435154,abatis,5,5,5,5,TRUE
marabout,maRabu,marabout,NOM,0.07,0.05,0.88,2,1,8,3,CV-CV-CV,NOM,2,5,2,0.88,0.05,-0.031517051,-0.030523727,marabout,6,5,5,5,FALSE
mikado,mikado,mikado,NOM,0.28,0.28,0.88,1,1,6,3,CV-CV-CV,NOM,2.35,5,2.45,0.88,0.28,0.064457989,0.068612822,mikado,6,5,5,5,FALSE
odyssée,odise,odyssée,NOM,0.24,0.23,0.95,2,1,7,3,V-CV-CV,NOM,1.9,5,1.95,0.94999999,0.23,0.071882004,0.077049026,odyssée,5,5,5,5,TRUE
panama,panama,panama,NOM,0.15,0.15,1.22,2,1,6,3,CV-CV-CV,NOM,2,6,2.3,1.21999998,0.15,0.136720561,0.155413073,panama,6,6,6,6,TRUE
séquoia,sekoja,séquoia,NOM,0.41,0.3,1.22,2,1,7,3,CV-CV-YV,NOM,2.6,5,2.85,1.21999998,0.3,0.181843582,0.214910671,séquoia,6,5,5,5,FALSE
confetti,k§feti,confetti,NOM,1.08,0.04,1.49,2,1,8,3,CV-CV-CV,NOM,2.25,4,3.5,1.49000002,0.04,0.184691436,0.218802363,confetti,6,5,4,5,FALSE
