Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,freqlivres,nbhomoph,islem,nblettres,nbsyll,cv-cv,cgramortho,pld20,Mlex puPhon,Mlex pld20,Mlex fb,Mlex ff,freq_comb,freq_comb_2,Word.1,nbphons,Pulexique,PUmMlex,maxPU,finalPU,FREQ,MISMATCH
appétit,apeti,appétit,NOM,20.98,20.68,23.78,2,1,7,3,V-CV-CV,NOM,1.85,5,1.85,23.77999988,20.68,1.647969457,4.363772789,appétit,5,5,5,5,TRUE,h,0
araignée,aRENe,araignée,NOM,18.2,12.21,12.36,2,1,8,3,V-CV-CV,NOM,1.8,5,1.95,12.36000006,12.21,1.390405158,3.32363166,araignée,5,5,5,5,TRUE,h,0
bâtiment,batim@,bâtiment,NOM,27.58,22.73,19.93,2,1,8,3,CV-CV-CV,NOM,1.75,6,1.9,19.93000008,22.73,1.630020852,4.28698883,bâtiment,6,6,6,6,TRUE,h,0
canapé,kanape,canapé,NOM,18.58,17.66,17.97,2,1,6,3,CV-CV-CV,NOM,1.95,6,1.95,17.96999996,17.66,1.551815822,3.959948167,canapé,6,6,6,6,TRUE,h,0
cinéma,sinema,cinéma,NOM,63.49,62.23,72.91,2,1,6,3,CV-CV-CV,NOM,2.7,6,2.8,72.90999961,62.23,2.130783913,6.671023999,cinéma,6,6,6,6,TRUE,h,0
compagnon,k§paN§,compagnon,NOM,22.2,8.4,34.26,2,1,9,3,CV-CV-CV,NOM,1.8,6,3.85,34.26000017,8.4,1.630020853,4.286988834,compagnon,6,6,6,6,TRUE,h,0
député,depyte,député,NOM,10.4,7.4,6.42,5,1,6,3,CV-CV-CV,NOM,1.75,6,1.8,6.42000008,7.4,1.140508046,2.441266648,député,6,6,6,6,TRUE,h,0
élément,elem@,élément,NOM,24.03,10.2,16.15,2,1,7,3,V-CV-CV,NOM,1.8,5,1.8,16.14999983,10.2,1.420780617,3.439398178,élément,5,5,5,5,TRUE,h,0
éléphant,elef@,éléphant,NOM,15.36,10.17,8.92,2,1,8,3,V-CV-CV,NOM,1.85,5,2.1,8.91999995,10.17,1.280805927,2.921269751,éléphant,5,5,5,5,TRUE,h,0
guérison,geRiz§,guérison,NOM,5.84,5.43,4.93,2,1,8,3,CV-CV-CV,NOM,1.8,5,2.75,4.92999995,5.43,1.015359753,2.046315182,guérison,6,5,5,5,FALSE,h,0
