Serial_num,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,freq_mism,freq,mismatch,freq_sum,freq_cat
108911,quantité,k@tite,NOM,1,10.3,8.67,18.99,15.27,CVCVCV,CVVCCVCV,3,8,H_0,3.974622147184666,0,53.22999999999999,H
84352,maladie,maladi,NOM,1,66.04,52.18,60.68,49.59,CVCVCV,CVCVCVV,3,7,H_0,5.431492445700453,0,228.49,H
21343,caresser,kaRese,VER,1,15.69,5.66,83.72,18.24,CVCVCV,CVCVCCVC,3,8,H_0,4.814701509882439,0,123.30999999999999,H
40892,déposer,depoze,VER,1,53.09,15.03,62.7,13.24,CVCVCV,CVCVCVC,3,7,H_0,4.9702298794612165,0,144.06,H
120553,rigoler,Rigole,VER,1,47.56,10.48,33.85,9.8,CVCVCV,CVCVCVC,3,7,H_0,4.621928969803046,0,101.69000000000001,H
96841,pantalon,p@tal§,NOM,1,37.55,31.49,71.76,57.91,CVCVCV,CVCCVCVC,3,8,H_0,5.291846475417725,0,198.71,H
108893,qualité,kalite,NOM,1,29.13,20.84,59.12,42.7,CVCVCV,CVVCVCV,3,7,H_0,5.022497986638768,0,151.79000000000002,H
27496,commencer,kom@se,VER,1,436.83,92.51,421.89,42.5,CVCVCV,CVCCVCCVC,3,9,H_0,6.901465539979852,0,993.73,H
42301,désolé,dezole,ADJ,1,276.66,193.51,12.43,6.49,CVCVCV,CVCVCV,3,6,H_0,6.192546521619673,0,489.09000000000003,H
111252,rassurer,RasyRe,VER,1,29.25,6.06,68.04,17.57,CVCVCV,CVCCVCVC,3,8,H_0,4.795129169911258,0,120.92000000000002,H
93509,numéro,nymeRo,NOM,1,173.48,162.08,70.07,60.0,CVCVCV,CVCVCV,3,6,H_0,6.143391327331203,0,465.63,H
125063,séparer,sepaRe,VER,1,66.22,20.34,109.8,18.38,CVCVCV,CVCVCVC,3,7,H_0,5.3694279940059895,0,214.74,H
24643,chocolat,Sokola,NOM,1,31.03,27.74,34.86,30.61,CVCVCV,CCVCVCVC,3,8,H_0,4.822215178840431,0,124.24,H
86203,matinée,matine,NOM,1,12.51,12.1,34.05,32.23,CVCVCV,CVCVCVV,3,7,H_0,4.509649984130679,0,90.88999999999999,H
38224,dégager,degaZe,VER,1,102.47,8.22,58.04,15.2,CVCVCV,CVCVCVC,3,7,H_0,5.214555250442706,0,183.92999999999998,H
28164,composer,k§poze,VER,1,14.07,2.87,47.57,7.3,CVCVCV,CVCCVCVC,3,8,H_0,4.2740237421222265,0,71.81,H
42063,désigner,deziNe,VER,1,10.04,1.81,66.69,8.38,CVCVCV,CVCVCCVC,3,8,H_0,4.4649881553882285,0,86.91999999999999,H
66843,généreux,ZeneR2,ADJ,1,23.32,16.57,23.72,13.99,CVCVCV,CVCVCVVC,3,8,H_0,4.351567427189173,0,77.6,H
42529,dessiner,desine,VER,1,29.97,9.1,79.66,12.97,CVCVCV,CVCCVCVC,3,8,H_0,4.880526608749236,0,131.7,H
