bad_cp,bad_as,decision,,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,,
,x,x,12374,badiner,badine,VER,1,0.59,0.18,1.35,0.27,CVCVCV,CVCVCVC,3,7,,
,x,x,12989,ballonner,balone,VER,1,0.66,0.15,1.15,0.14,CVCVCV,CVCCVCCVC,3,9,,
x,x,x,13080,bambino,b@bino,NOM,1,0.37,0.33,0.34,0.27,CVCVCV,CVCCVCV,3,7,,Nb de mots exclus =
x,x,x,13089,bamboula,b@bula,NOM,1,1.29,1.29,0.27,0.27,CVCVCV,CVCCVVCV,3,8,,134
x,x,x,13111,bananer,banane,VER,1,1.04,0,0.2,0.07,CVCVCV,CVCVCVC,3,7,,Nb de mots inclus =
,x,x,13147,bandana,b@dana,NOM,1,0.5,0.46,0.07,0.07,CVCVCV,CVCCVCV,3,7,,137
x,x,x,13333,baraqué,baRake,ADJ,1,1.04,0.96,0.68,0.41,CVCVCV,CVCVCVV,3,7,,
,x,x,13821,bassiner,basine,VER,1,0.46,0.23,1.42,0.54,CVCVCV,CVCCVCVC,3,8,,
x,x,x,14129,bavasser,bavase,VER,1,0.91,0.48,0.95,0.41,CVCVCV,CVCVCCVC,3,8,,
,x,x,14189,bazooka,bazuka,NOM,1,1.57,1.21,0.88,0.81,CVCVCV,CVCVVCV,3,7,,
x,x,x,14306,bécoter,bekote,VER,1,1.05,0.28,0.88,0.41,CVCVCV,CVCVCVC,3,7,,
x,x,x,14348,bedonnant,b2don@,ADJ,1,0.33,0.14,1.49,1.01,CVCVCV,CVCVCCVCC,3,9,,
,x,x,14623,benjamin,b5Zam5,NOM,1,0.81,0.33,0.81,0.47,CVCVCV,CVCCVCVC,3,8,,
,x,x,15017,bichonner,biSone,VER,1,1.4,0.72,1.42,0.41,CVCVCV,CVCCVCCVC,3,9,,
x,x,x,15063,bidonner,bidone,VER,1,1,0.33,1.89,0.34,CVCVCV,CVCVCCVC,3,8,,
,x,x,15185,bigamie,bigami,NOM,1,0.37,0.37,0.47,0.47,CVCVCV,CVCVCVV,3,7,,
,x,x,16284,boléro,boleRo,NOM,1,0.56,0.56,1.22,1.08,CVCVCV,CVCVCV,3,6,,
,x,x,17477,bourricot,buRiko,NOM,1,0.52,0.49,1.08,0.34,CVCVCV,CVVCCVCVC,3,9,,
,,,19265,butiner,bytine,VER,1,0.49,0.16,1.69,0.41,CVCVCV,CVCVCVC,3,7,,
,,,19476,cachalot,kaSalo,NOM,1,0.72,0.7,0.95,0.88,CVCVCV,CVCCVCVC,3,8,,
,x,,19610,cadencer,kad@se,VER,1,0.38,0,1.22,0.14,CVCVCV,CVCVCCVC,3,8,,
,,,19762,cagoulé,kagule,ADJ,1,0.31,0.03,0.2,0.14,CVCVCV,CVCVVCV,3,7,,
,,,20110,câliner,kaline,VER,1,0.81,0.45,1.22,0.41,CVCVCV,CVCVCVC,3,7,,
,,,20216,calorie,kaloRi,NOM,1,1.43,0.15,0.95,0,CVCVCV,CVCVCVV,3,7,,
x,x,x,20294,camaro,kamaRo,NOM,1,0.38,0.38,0,0,CVCVCV,CVCVCV,3,6,,
x,x,x,20563,canasson,kanas§,NOM,1,0.98,0.58,1.49,1.01,CVCVCV,CVCVCCVC,3,8,,
x,x,x,20572,cancaner,k@kane,VER,1,0.31,0.25,0.68,0.27,CVCVCV,CVCCVCVC,3,8,,
,,,20585,cancéreux,k@seR2,ADJ,1,0.62,0.16,0.74,0.27,CVCVCV,CVCCVCVVC,3,9,,
,x,x,20766,cantiner,k@tine,VER,1,0.33,0,0.34,0.27,CVCVCV,CVCCVCVC,3,8,,
