,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
12222,bâbord,babOR,NOM,1,1.97,1.97,0.95,0.95,CVCVC,CVCVCC,2,6
12280,bacille,basil,NOM,1,0.45,0.18,1.15,0.34,CVCVC,CVCVCCV,2,7
12436,bâfrer,bafRe,VER,1,0.72,0.26,1.96,0.54,CVCCV,CVCCVC,2,6
12781,balaise,balEz,ADJ,1,0.49,0.45,0.34,0.27,CVCVC,CVCVVCV,2,7
12918,balèze,balEz,ADJ,1,1.3,1.12,0.81,0.74,CVCVC,CVCVCV,2,6
12919,balèze,balEz,NOM,1,0.69,0.61,0.47,0.14,CVCVC,CVCVCV,2,6
13029,balourd,baluR,ADJ,1,0.82,0.41,0.68,0.54,CVCVC,CVCVVCC,2,7
13030,balourd,baluR,NOM,1,0.73,0.67,0.54,0.41,CVCVC,CVCVVCC,2,7
13267,banquise,b@kiz,NOM,1,0.66,0.65,1.55,1.42,CVCVC,CVCCVVCV,2,8
13375,barbant,baRb@,ADJ,1,1.9,1.02,0.27,0.2,CVCCV,CVCCVCC,2,7
13413,barber,baRbe,VER,1,0.78,0.06,1.69,0.2,CVCCV,CVCCVC,2,6
13524,barème,baREm,NOM,1,0.31,0.17,0.54,0.34,CVCVC,CVCVCV,2,6
13556,barjo,baRZo,ADJ,1,1.02,0.95,0.14,0.14,CVCCV,CVCCV,2,5
13557,barjo,baRZo,NOM,1,1.01,0.72,0.14,0.14,CVCCV,CVCCV,2,5
13560,barjot,baRZo,ADJ,1,0.84,0.63,0.47,0.34,CVCCV,CVCCVC,2,6
13561,barjot,baRZo,NOM,1,0.32,0.16,0.2,0.2,CVCCV,CVCCVC,2,6
13665,barrique,baRik,NOM,1,0.99,0.68,1.55,0.81,CVCVC,CVCCVCVV,2,8
13777,basique,bazik,ADJ,1,1.3,0.85,0.0,0.0,CVCVC,CVCVCVV,2,7
13846,baston,bast§,NOM,1,1.51,1.43,0.88,0.81,CVCCV,CVCCVC,2,6
14144,bavette,bavEt,NOM,1,0.35,0.19,0.95,0.88,CVCVC,CVCVCCV,2,7
14268,bécasse,bekas,ADJ,1,0.37,0.36,0.34,0.27,CVCVC,CVCVCCV,2,7
14269,bécasse,bekas,NOM,1,1.56,1.4,1.08,0.54,CVCVC,CVCVCCV,2,7
14291,bêcheur,bES9R,ADJ,1,0.52,0.22,0.95,0.41,CVCVC,CVCCVVC,2,7
14292,bêcheur,bES9R,NOM,1,0.4,0.12,1.22,0.41,CVCVC,CVCCVVC,2,7
14339,bedaine,b2dEn,NOM,1,0.89,0.89,1.62,1.42,CVCVC,CVCVVCV,2,7
14371,beeper,bip9R,NOM,1,0.34,0.34,0.0,0.0,CVCVC,CVVCVC,2,6
14513,bémol,bemOl,NOM,1,0.88,0.88,1.01,0.81,CVCVC,CVCVC,2,5
14536,bénef,benEf,NOM,1,0.71,0.43,0.68,0.61,CVCVC,CVCVC,2,5
15039,bidasse,bidas,NOM,1,0.37,0.21,0.81,0.34,CVCVC,CVCVCCV,2,7
15217,bigleux,bigl2,ADJ,1,1.02,0.98,0.41,0.34,CVCCV,CVCCVVC,2,7
15218,bigleux,bigl2,NOM,1,1.88,1.75,0.2,0.14,CVCCV,CVCCVVC,2,7
15295,bilingue,bil5g,ADJ,1,0.34,0.3,0.88,0.54,CVCVC,CVCVCCVV,2,8
15296,bilingue,bil5g,NOM,1,0.39,0.38,0.0,0.0,CVCVC,CVCVCCVV,2,8
15333,binaire,binER,ADJ,1,0.68,0.45,0.34,0.27,CVCVC,CVCVVCV,2,7
15421,bipède,bipEd,ADJ,1,0.56,0.45,0.07,0.0,CVCVC,CVCVCV,2,6
15422,bipède,bipEd,NOM,1,0.78,0.58,0.47,0.2,CVCVC,CVCVCV,2,6
15436,biplan,bipl@,NOM,1,0.32,0.32,0.68,0.54,CVCCV,CVCCVC,2,6
15446,biquette,bikEt,NOM,1,0.46,0.05,1.35,1.01,CVCVC,CVCVVCCV,2,8
15456,birman,biRm@,ADJ,1,0.36,0.16,0.0,0.0,CVCCV,CVCCVC,2,6
16136,bobonne,bobOn,NOM,1,0.79,0.79,1.15,1.08,CVCVC,CVCVCCV,2,7
16398,bondage,b§daZ,NOM,1,0.41,0.41,0.07,0.0,CVCVC,CVCCVCV,2,7
16453,boniche,boniS,NOM,1,1.28,1.16,1.22,0.81,CVCVC,CVCVCCV,2,7
16531,booster,buste,NOM,1,0.63,0.52,0.0,0.0,CVCCV,CVVCCVC,2,7
16555,bordeaux,bORdo,ADJ,1,0.7,0.7,1.62,1.62,CVCCV,CVCCVVVC,2,8
16702,bosseur,bos9R,ADJ,1,0.34,0.2,0.14,0.07,CVCVC,CVCCVVC,2,7
16703,bosseur,bos9R,NOM,1,0.59,0.53,0.34,0.0,CVCVC,CVCCVVC,2,7
17011,bouffeur,buf9R,ADJ,1,0.34,0.23,0.27,0.2,CVCVC,CVVCCVVC,2,8
17012,bouffeur,buf9R,NOM,1,0.84,0.32,0.34,0.14,CVCVC,CVVCCVVC,2,8
17074,bougeotte,buZOt,NOM,1,1.04,1.04,1.15,1.15,CVCVC,CVVCVVCCV,2,9
17719,boxon,bOks§,NOM,1,0.62,0.6,1.01,0.74,CVCCV,CVCVC,2,5
19019,buccal,bykal,ADJ,1,0.54,0.16,0.34,0.14,CVCVC,CVCCVC,2,6
19171,burette,byREt,NOM,1,1.03,0.61,1.62,0.88,CVCVC,CVCVCCV,2,7
