bad_cp,bad_as,decision,,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,,
x,x,x,13527,barge,baRZ,ADJ,1,1.7,1.6,0.14,0.07,CVCC,CVCCV,1,5,,
x,x,x,13528,barge,baRZ,NOM,1,1,0.72,0.74,0.41,CVCC,CVCCV,1,5,,
x,x,x,13834,baste,bast,NOM,1,1.21,1.21,0.14,0.14,CVCC,CVCCV,1,5,,Nb de mots exclus =
x,x,x,13835,baste,bast,ONO,1,0.42,0.42,0.14,0.14,CVCC,CVCCV,1,5,,134
x,x,x,14711,berk,bERk,ONO,1,1.35,1.35,0.95,0.95,CVCC,CVCC,1,4,,Nb de mots inclus =
x,x,x,14808,best,bEst,NOM,1,0.52,0.52,0.34,0.34,CVCC,CVCC,1,4,,46
x,x,x,15255,bigre,bigR,ONO,1,0.47,0.47,0.54,0.54,CVCC,CVCCV,1,5,,
x,x,x,15520,bisque,bisk,NOM,1,0.41,0.41,0.61,0.54,CVCC,CVCCVV,1,6,,
,,,15815,blatte,blat,NOM,1,0.86,0.41,0.68,0.14,CCVC,CCVCCV,1,6,,
,x,x,15971,block,blOk,NOM,1,1.06,0.7,0.27,0,CCVC,CCVCC,1,5,,
x,x,x,16536,boots,buts,NOM,1,0.54,0.54,0.95,0.95,CVCC,CVVCC,1,5,,
,,,16610,borgne,bORN,NOM,1,1.12,0.99,1.96,1.89,CVCC,CVCCCV,1,6,,
,x,x,17345,bourde,buRd,NOM,1,1.54,1.1,0.95,0.54,CVCC,CVVCCV,1,6,,
x,x,x,17369,bourge,buRZ,NOM,1,1.22,0.9,0.47,0.07,CVCC,CVVCCV,1,6,,
x,x,x,17833,braire,bRER,VER,1,0.37,0.34,0.61,0.61,CCVC,CCVVCV,1,6,,
x,x,x,18218,brick,bRik,NOM,1,1.51,1.3,0.34,0.14,CCVC,CCVCC,1,5,,
x,x,x,18399,bringue,bR5g,NOM,1,1.27,1.27,1.42,1.42,CCVC,CCVCCVV,1,7,,
,,,18421,brique,bRik,ADJ,1,0.37,0.37,1.96,1.96,CCVC,CCVCVV,1,6,,
,,,18640,bronze,bR§z,ADJ,1,0.54,0.54,0.88,0.88,CCVC,CCVCCV,1,6,,
,,,18993,brut,bRyt,NOM,1,0.55,0.54,0.61,0.54,CCVC,CCVC,1,4,,
,,,19109,bulbe,bylb,NOM,1,0.47,0.31,1.82,1.01,CVCC,CVCCV,1,5,,
x,x,x,19196,burne,byRn,NOM,1,1.42,0.09,1.49,0.07,CVCC,CVCCV,1,5,,
,,,20964,câpre,kapR,NOM,1,0.31,0.11,0.47,0,CVCC,CVCCV,1,5,,
,,,22431,celte,sElt,ADJ,1,0.44,0.32,1.22,0.68,CVCC,CVCCV,1,5,,
,x,x,23108,chancre,S@kR,NOM,1,0.83,0.53,1.08,0.74,CVCC,CCVCCCV,1,7,,
,x,x,23256,chantre,S@tR,NOM,1,0.46,0.44,1.82,1.35,CVCC,CCVCCCV,1,7,,
x,x,x,23916,cheap,tSip,ADJ,1,0.5,0.5,0.14,0.14,CCVC,CCVVC,1,5,,
,,,24598,chlore,klOR,NOM,1,0.79,0.79,0.81,0.81,CCVC,CCCVCV,1,6,,
x,x,x,25711,clam,klam,NOM,1,0.34,0.06,0.2,0.07,CCVC,CCVC,1,4,,
x,x,x,25717,clamp,kl@p,NOM,1,1.09,0.97,0,0,CCVC,CCVCC,1,5,,
x,x,x,25756,clap,klap,NOM,1,1.43,1.43,0.54,0.54,CCVC,CCVC,1,4,,
x,x,x,25849,clash,klaS,NOM,1,1.7,1.7,1.55,1.55,CCVC,CCVCC,1,5,,
x,x,x,25902,class,klas,ADJ,1,0.51,0.51,1.08,1.08,CCVC,CCVCC,1,5,,
x,x,x,25994,click,klik,NOM,1,0.4,0.4,0,0,CCVC,CCVCC,1,5,,
x,x,x,25995,clic,klik,NOM,1,1.17,0.94,1.08,0.88,CCVC,CCVC,1,4,,
x,x,x,27206,colt,kOlt,NOM,1,0.97,0.57,1.82,1.82,CVCC,CVCC,1,4,,
x,x,x,29388,congre,k§gR,NOM,1,0.44,0.01,0.2,0.14,CVCC,CVCCCV,1,6,,
,x,x,32038,corse,kORs,NOM,1,0.79,0.15,1.89,1.22,CVCC,CVCCV,1,5,,
,x,x,33112,crade,kRad,ADJ,1,1.31,1.19,1.55,1.35,CCVC,CCVCV,1,5,,
x,x,x,33213,crane,kRan,NOM,1,0.96,0.96,0,0,CCVC,CCVCV,1,5,,
x,x,x,33262,craps,kRap,NOM,1,0.73,0.73,0.07,0.07,CCVC,CCVCC,1,5,,
,x,x,33285,craque,kRak,NOM,1,0.55,0.16,0.81,0.07,CCVC,CCVCVV,1,6,,
x,x,x,33471,creek,kRik,NOM,1,0.78,0.77,0.34,0.27,CCVC,CCVVC,1,5,,
x,x,x,33786,cric,kRik,NOM,1,1.2,1.18,1.42,1.08,CCVC,CCVC,1,4,,
,,,34288,cruche,kRyS,ADJ,1,0.32,0.28,0,0,CCVC,CCVCCV,1,6,,
,x,,41283,derme,dERm,NOM,1,0.52,0.52,0.41,0.41,CVCC,CVCCV,1,5,,
x,x,x,45639,djinn,dZin,NOM,1,0.36,0.34,0.61,0,CCVC,CCVCC,1,5,,
x,x,x,46379,drag,dRag,NOM,1,0.73,0.6,0.34,0.14,CCVC,CCVC,1,4,,
x,x,x,46563,dring,dRiG,ONO,1,0.32,0.32,0.61,0.61,CCVC,CCVCC,1,5,,
x,x,x,46564,drink,dR5k,NOM,1,0.92,0.89,0.88,0.41,CCVC,CCVCC,1,5,,
,,,46646,drone,dRon,NOM,1,1.79,0.88,0,0,CCVC,CCVCV,1,5,,
x,x,x,46650,drop,dROp,NOM,1,1.11,1.11,0,0,CCVC,CCVC,1,4,,
x,x,x,46685,druze,dRyz,ADJ,1,0.56,0.4,1.28,0.54,CCVC,CCVCV,1,5,,
,x,x,60414,faste,fast,ADJ,1,0.57,0.53,1.28,0.61,CVCC,CVCCV,1,5,,
x,,,61070,ferme,fERm,ADV,1,1.98,1.98,0,0,CVCC,CVCCV,1,5,,
x,x,x,61575,field,fild,NOM,1,0.47,0.47,0,0,CVCC,CVVCC,1,5,,
x,x,x,62185,flag,flag,NOM,1,0.57,0.57,0.41,0.41,CCVC,CCVC,1,4,,
x,x,x,62481,flemme,flEm,NOM,1,0.49,0.49,1.62,1.62,CCVC,CCVCCV,1,6,,
x,x,x,62604,flip,flip,NOM,1,1.63,1.58,1.42,1.28,CCVC,CCVC,1,4,,
x,x,x,62671,flood,flud,ADJ,1,0.33,0.33,0,0,CCVC,CCVVC,1,5,,
x,x,x,62675,flop,flOp,NOM,1,0.76,0.68,0.27,0.27,CCVC,CCVC,1,4,,
,,,62686,flore,flOR,NOM,1,0.72,0.7,1.55,1.35,CCVC,CCVCV,1,5,,
x,x,x,62806,flush,fl9S,NOM,1,1.17,1.17,0.07,0.07,CCVC,CCVCC,1,5,,
,x,,63692,fourbe,fuRb,ADJ,1,1.7,1.32,1.08,0.68,CVCC,CVVCCV,1,6,,
x,,x,63693,fourbe,fuRb,NOM,1,1.52,1.12,0.81,0.61,CVCC,CVVCCV,1,6,,
x,x,x,63958,fox,fOks,NOM,1,0.48,0.48,0.41,0.41,CVCC,CVC,1,3,,
,,,64707,fripe,fRip,NOM,1,0.58,0.22,0.95,0.61,CCVC,CCVCV,1,5,,
,,,64934,fronce,fR§s,NOM,1,0.36,0.34,0.54,0.07,CCVC,CCVCCV,1,6,,
,x,,64950,fronde,fR§d,NOM,1,1.02,0.86,1.82,1.69,CCVC,CCVCCV,1,6,,
,,,66664,geindre,Z5dR,NOM,1,1.41,1.41,1.96,1.96,CVCC,CVVCCCV,1,7,,
x,,x,67473,glaire,glER,NOM,1,0.48,0.22,1.35,0.34,CCVC,CCVVCV,1,6,,
,x,x,67557,glass,glas,NOM,1,1.23,1.05,1.28,1.28,CCVC,CCVCC,1,5,,
x,x,x,67571,glèbe,glEb,NOM,1,0.51,0.51,0.95,0.88,CCVC,CCVCV,1,5,,
,,,68196,gourde,guRd,ADJ,1,0.79,0.78,1.22,0.88,CVCC,CVVCCV,1,6,,
,,,68373,grâce,gRas,ONO,1,0.7,0.7,0.27,0.27,CCVC,CCVCV,1,5,,
,x,x,68763,gratte,gRat,NOM,1,0.56,0.53,0.41,0.41,CCVC,CCVCCV,1,6,,
x,x,x,68920,green,gRin,NOM,1,1.13,1.04,0.27,0.07,CCVC,CCVVC,1,5,,
x,x,x,69195,gril,gRil,NOM,1,0.68,0.64,1.76,1.49,CCVC,CCVC,1,4,,
x,x,x,69241,grill,gRil,NOM,1,1.66,1.66,0.14,0.14,CCVC,CCVCC,1,5,,
,,,69313,grimpe,gR5p,NOM,1,1.65,1.65,0,0,CCVC,CCVCCV,1,6,,
x,x,x,69373,gringue,gR5g,NOM,1,0.35,0.35,1.15,1.15,CCVC,CCVCCVV,1,7,,
,x,x,69467,grive,gRiv,NOM,1,1.73,0.52,1.82,0.74,CCVC,CCVCV,1,5,,
,x,x,69488,grog,gROg,NOM,1,0.63,0.52,1.42,1.15,CCVC,CCVC,1,4,,
,x,x,69505,grogne,gRON,NOM,1,0.42,0.42,1.62,1.55,CCVC,CCVCCV,1,6,,
,,,69992,guilde,gild,NOM,1,0.57,0.56,0,0,CVCC,CVVCCV,1,6,,
x,x,x,80010,jusque,Zysk,ADV,1,0.62,0.62,0.14,0.14,CVCC,CVCCVV,1,6,,
x,x,x,80277,kilt,kilt,NOM,1,0.55,0.5,0.68,0.68,CVCC,CVCC,1,4,,
x,x,x,80306,kirsch,kiRS,NOM,1,0.56,0.56,1.22,1.22,CVCC,CVCCCC,1,6,,
x,,x,80418,kyste,kist,NOM,1,0.57,0.51,0.2,0.07,CVCC,CVCCV,1,5,,
x,,x,81775,leste,lEst,ADJ,1,0.61,0.5,1.42,0.95,CVCC,CVCCV,1,5,,
,x,x,81785,lest,lEst,NOM,1,0.97,0.97,0.68,0.68,CVCC,CVCC,1,4,,
x,x,x,82217,lift,lift,NOM,1,0.61,0.52,0.07,0.07,CVCC,CVCC,1,4,,
x,x,x,82864,loft,lOft,NOM,1,1.36,1.11,0.47,0.47,CVCC,CVCC,1,4,,
x,,x,83631,lux,lyks,NOM,1,0.34,0.34,0.34,0.34,CVCC,CVC,1,3,,
,,,83695,lynx,l5ks,NOM,1,1.73,1.73,1.22,1.22,CVCC,CVCC,1,4,,
x,x,x,83933,madre,madR,NOM,1,0.62,0.62,0,0,CVCC,CVCCV,1,5,,
,x,x,84602,malt,malt,NOM,1,0.68,0.68,0.14,0.14,CVCC,CVCC,1,4,,
x,,x,90279,morve,mORv,NOM,1,1.6,1.6,1.96,1.82,CVCC,CVCCV,1,5,,
,,,90459,moufle,mufl,NOM,1,0.73,0.28,1.76,0.34,CVCC,CVVCCV,1,6,,
x,x,x,91371,myrte,miRt,NOM,1,1.25,1.25,1.55,0.74,CVCC,CVCCV,1,5,,
,,,92424,neutre,n2tR,NOM,1,0.68,0.41,0.74,0.47,CVCC,CVVCCV,1,6,,
,,,93196,nôtre,notR,ADJ:pos,1,0.78,0.78,0.88,0.88,CVCC,CVCCV,1,5,,
x,x,x,96223,pacs,paks,NOM,1,0.58,0.58,0,0,CVCC,CVCC,1,4,,
x,x,x,96659,pampre,p@pR,NOM,1,0.41,0.27,1.01,0.2,CVCC,CVCCCV,1,6,,
x,x,x,98255,past,past,NOM,1,0.58,0.58,0,0,CVCC,CVCC,1,4,,
x,x,x,98298,patch,patS,NOM,1,1.11,0.88,0.14,0.07,CVCC,CVCCC,1,5,,
,x,x,98948,pègre,pEgR,NOM,1,1.34,1.34,1.42,1.42,CVCC,CVCCV,1,5,,
x,x,x,99205,pence,pEns,NOM,1,1.71,1.71,0.14,0.14,CVCC,CVCCV,1,5,,
,x,x,99570,perce,pERs,NOM,1,0.31,0.31,0.47,0.47,CVCC,CVCCV,1,5,,
x,x,x,99996,perme,pERm,NOM,1,0.58,0.57,1.42,1.22,CVCC,CVCCV,1,5,,
x,x,x,100039,perm,pERm,NOM,1,1.38,1.38,1.01,1.01,CVCC,CVCC,1,4,,
,x,x,100177,perse,pERs,ADJ,1,0.92,0.48,0.74,0.47,CVCC,CVCCV,1,5,,
,,,100466,peste,pEst,ONO,1,0.4,0.4,0.2,0.2,CVCC,CVCCV,1,5,,
,x,x,101741,pingre,p5gR,ADJ,1,0.58,0.56,0.74,0.54,CVCC,CVCCCV,1,6,,
x,x,x,101746,pink,pink,NOM,1,1,1,0.34,0.34,CVCC,CVCC,1,4,,
,,,102127,pitre,pitR,NOM,1,1.7,1.55,1.96,1.69,CVCC,CVCCV,1,5,,
x,x,x,102303,plaid,plEd,NOM,1,0.34,0.28,1.15,0.95,CCVC,CCVVC,1,5,,
x,,x,102452,plane,plan,NOM,1,0.48,0.48,0.34,0.27,CCVC,CCVCV,1,5,,
,,,102673,plate,plat,NOM,1,0.54,0.52,0.54,0.41,CCVC,CCVCV,1,5,,
