,ortho,cgram,nbsyll,nblettres,freq_mism,freq
0,blatte,NOM,1,6,L_2,0.7371640659767198
1,borgne,NOM,1,6,L_2,1.7850704810772584
2,brique,ADJ,1,6,L_2,1.5390154481375546
3,bronze,ADJ,1,6,L_2,1.0438040521731147
4,brut,NOM,1,4,L_2,0.8064758658669485
5,bulbe,NOM,1,5,L_2,1.2837077723447896
6,câpre,NOM,1,5,L_2,-0.11653381625595163
7,celte,ADJ,1,5,L_2,0.9783261227936078
8,chlore,NOM,1,6,L_2,1.1631508098056809
9,cruche,ADJ,1,6,L_2,-0.5108256237659905
10,derme,NOM,1,5,L_2,0.6205764877251098
11,drone,NOM,1,5,L_2,0.9820784724121582
12,ferme,ADV,1,5,L_2,1.3762440252663892
13,flore,NOM,1,5,L_2,1.463255402256019
14,fourbe,ADJ,1,6,L_2,1.5644405465033644
15,fripe,NOM,1,5,L_2,0.8586616190375187
16,fronce,NOM,1,6,L_2,0.2700271372130602
17,fronde,NOM,1,6,L_2,1.684545384920906
18,geindre,NOM,1,7,L_2,1.9080599249242156
19,gourde,ADJ,1,6,L_2,1.3001916620664788
20,grâce,ONO,1,5,L_2,0.6626879730752367
21,grimpe,NOM,1,6,L_2,1.1939224684724346
22,guilde,NOM,1,6,L_2,0.12221763272424911
23,lynx,NOM,1,4,L_2,1.7749523509116736
24,moufle,NOM,1,6,L_2,1.1346227261911428
25,neutre,NOM,1,6,L_2,0.8329091229351039
26,nôtre,ADJ:pos,1,5,L_2,1.199964782928397
27,peste,ONO,1,5,L_2,0.1823215567939546
28,pitre,NOM,1,5,L_2,1.9315214116032138
29,plate,NOM,1,5,L_2,0.6981347220709845
30,prude,ADJ,1,5,L_2,0.8919980393051105
31,purge,NOM,1,5,L_2,1.6253112615903906
32,sacre,NOM,1,5,L_2,1.0402767116551461
33,sigle,NOM,1,5,L_2,1.3584091576303547
34,snob,NOM,1,4,L_2,1.66392609771817
35,spore,NOM,1,5,L_2,0.058268908123975824
36,strie,NOM,1,5,L_2,0.9820784724121582
37,tacle,NOM,1,5,L_2,-0.10536051565782616
38,talc,NOM,1,4,L_2,1.7544036826842861
39,thermes,NOM,1,7,L_2,0.6523251860396901
40,tourte,NOM,1,6,L_2,1.2412685890696329
41,traque,NOM,1,6,L_2,1.0116009116784799
42,triche,NOM,1,6,L_2,1.547562508716013
43,verse,NOM,1,5,L_2,1.7404661748405044
44,votre,PRO:pos,1,5,L_2,-0.4462871026284195
45,zeste,NOM,1,5,L_2,1.1019400787607843
