,ortho,cgram,nbsyll_x,nblettres_x,freq_mism,freq_x,nbhomogr,nbsyll_y,nblettres_y,freq_y,_merge
1,borgne,NOM,1,6,L_2,1.7850704810772584,,,,,left_only
2,brique,ADJ,1,6,L_2,1.5390154481375546,,,,,left_only
3,bronze,ADJ,1,6,L_2,1.0438040521731147,,,,,left_only
4,brut,NOM,1,4,L_2,0.8064758658669485,,,,,left_only
9,cruche,ADJ,1,6,L_2,-0.5108256237659905,,,,,left_only
12,ferme,ADV,1,5,L_2,1.3762440252663892,,,,,left_only
16,fronce,NOM,1,6,L_2,0.2700271372130602,,,,,left_only
19,gourde,ADJ,1,6,L_2,1.3001916620664788,,,,,left_only
20,grâce,ONO,1,5,L_2,0.6626879730752367,,,,,left_only
21,grimpe,NOM,1,6,L_2,1.1939224684724346,,,,,left_only
25,neutre,NOM,1,6,L_2,0.8329091229351039,,,,,left_only
26,nôtre,ADJ:pos,1,5,L_2,1.199964782928397,,,,,left_only
27,peste,ONO,1,5,L_2,0.1823215567939546,,,,,left_only
29,plate,NOM,1,5,L_2,0.6981347220709845,,,,,left_only
31,purge,NOM,1,5,L_2,1.6253112615903906,,,,,left_only
32,sacre,NOM,1,5,L_2,1.0402767116551461,,,,,left_only
34,snob,NOM,1,4,L_2,1.66392609771817,,,,,left_only
41,traque,NOM,1,6,L_2,1.0116009116784799,,,,,left_only
42,triche,NOM,1,6,L_2,1.547562508716013,,,,,left_only
43,verse,NOM,1,5,L_2,1.7404661748405044,,,,,left_only
44,votre,PRO:pos,1,5,L_2,-0.4462871026284195,,,,,left_only
