Serial_num,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,freq_mism,freq,mismatch,freq_sum,freq_cat
27496,commencer,kom@se,VER,1,436.83,92.51,421.89,42.5,CVCVCV,CVCCVCCVC,3,9,H_0,6.901465539979852,0,993.73,H
112309,récemment,Resam@,ADV,1,21.07,21.07,15.07,15.07,CVCVCV,CVCVCCVCC,3,9,H_0,4.280547465724028,0,72.28,H
59704,fabuleux,fabyl2,ADJ,1,15.34,11.1,17.5,9.86,CVCVCV,CVCVCVVC,3,8,H_0,3.9852734671677386,0,53.8,H
82360,limiter,limite,VER,1,11.19,2.62,19.26,4.46,CVCVCV,CVCVCVC,3,7,H_0,3.6251406131469297,0,37.53,H
44044,différent,difeR@,ADJ,1,135.8,65.42,92.03,27.43,CVCVCV,CVCCVCVCC,3,9,H_0,5.770443741174751,0,320.68,H
108893,qualité,kalite,NOM,1,29.13,20.84,59.12,42.7,CVCVCV,CVVCVCV,3,7,H_0,5.022497986638768,0,151.79000000000002,H
87429,mériter,meRite,VER,1,97.06,6.73,54.53,6.42,CVCVCV,CVCVCVC,3,7,H_0,5.1043684735131025,0,164.73999999999998,H
141805,volonté,vol§te,NOM,1,47.08,44.41,74.93,70.54,CVCVCV,CVCVCCV,3,7,H_0,5.467891350519489,0,236.96000000000004,H
125876,signaler,siNale,VER,1,27.92,9.51,27.5,6.62,CVCVCV,CVCCVCVC,3,8,H_0,4.27039650600246,0,71.55000000000001,H
45692,document,dokym@,NOM,1,24.86,9.34,16.01,6.69,CVCVCV,CVCVCVCC,3,8,H_0,4.041295341132285,0,56.900000000000006,H
125063,séparer,sepaRe,VER,1,66.22,20.34,109.8,18.38,CVCVCV,CVCVCVC,3,7,H_0,5.3694279940059895,0,214.74,H
108911,quantité,k@tite,NOM,1,10.3,8.67,18.99,15.27,CVCVCV,CVVCCVCV,3,8,H_0,3.974622147184666,0,53.22999999999999,H
60466,fatigué,fatige,ADJ,1,35.86,18.46,31.62,16.89,CVCVCV,CVCVCVV,3,7,H_0,4.6330771392411,0,102.83,H
42301,désolé,dezole,ADJ,1,276.66,193.51,12.43,6.49,CVCVCV,CVCVCV,3,6,H_0,6.192546521619673,0,489.09000000000003,H
98066,passager,pasaZe,NOM,1,19.41,3.75,13.24,3.24,CVCVCV,CVCCVCVC,3,8,H_0,3.6798387094617873,0,39.64,H
40407,dépasser,depase,VER,1,42.62,6.12,78.78,10.27,CVCVCV,CVCVCCVC,3,8,H_0,4.925730787005811,0,137.79,H
42203,désirer,deziRe,VER,1,65.63,4.28,61.89,9.12,CVCVCV,CVCVCVC,3,7,H_0,4.948192353473037,0,140.92000000000002,H
41077,député,depyte,NOM,1,10.4,7.4,10.88,6.42,CVCVCV,CVCVCV,3,6,H_0,3.55820113047182,0,35.1,H
66962,gentiment,Z@tim@,ADV,1,11.32,11.32,21.76,21.76,CVCVCV,CVCCVCVCC,3,9,H_0,4.192076050715436,0,66.16000000000001,H
43659,dévorer,devoRe,VER,1,19.7,4.08,37.64,7.7,CVCVCV,CVCVCVC,3,7,H_0,4.2358441244958005,0,69.12,H
13951,bâtiment,batim@,NOM,1,27.58,22.73,36.82,19.93,CVCVCV,CVCVCVCC,3,8,H_0,4.673389424965236,0,107.06,H
41380,dérouler,deRule,VER,1,11.37,1.26,39.46,5.88,CVCVCV,CVCVVCVC,3,8,H_0,4.059925635351641,0,57.970000000000006,H
42063,désigner,deziNe,VER,1,10.04,1.81,66.69,8.38,CVCVCV,CVCVCCVC,3,8,H_0,4.4649881553882285,0,86.91999999999999,H
